class,hand,k0x,k0y,k1x,k1y,k2x,k2y,k3x,k3y,k4x,k4y,k5x,k5y,k6x,k6y,k7x,k7y,k8x,k8y,k9x,k9y,k10x,k10y,k11x,k11y,k12x,k12y,k13x,k13y,k14x,k14y,k15x,k15y,k16x,k16y,k17x,k17y,k18x,k18y,k19x,k19y,k20x,k20y
5,Right,0.0,0.0,-0.19230769230769232,-0.12393162393162394,-0.49145299145299143,-0.17094017094017094,-0.7264957264957265,-0.10256410256410256,-0.9017094017094017,-0.02564102564102564,-0.4017094017094017,-0.3333333333333333,-0.6965811965811965,-0.2863247863247863,-0.8717948717948718,-0.1623931623931624,-1.0,-0.04700854700854701,-0.27350427350427353,-0.21794871794871795,-0.6025641025641025,-0.15384615384615385,-0.8247863247863247,0.008547008547008548,-0.9743589743589743,0.13675213675213677,-0.16666666666666666,-0.0641025641025641,-0.47863247863247865,-0.008547008547008548,-0.6923076923076923,0.13247863247863248,-0.8376068376068376,0.23504273504273504,-0.09401709401709402,0.11538461538461539,-0.3504273504273504,0.1581196581196581,-0.5256410256410257,0.2264957264957265,-0.6709401709401709,0.28205128205128205
5,Right,0.0,0.0,-0.25311203319502074,-0.02074688796680498,-0.5518672199170125,-0.07883817427385892,-0.7925311203319502,-0.04979253112033195,-1.0,0.024896265560165973,-0.3817427385892116,-0.44398340248962653,-0.6763485477178424,-0.46887966804979253,-0.8672199170124482,-0.3817427385892116,-0.991701244813278,-0.2821576763485477,-0.26141078838174275,-0.37344398340248963,-0.5975103734439834,-0.3900414937759336,-0.8174273858921162,-0.24481327800829875,-0.950207468879668,-0.11203319502074689,-0.17427385892116182,-0.24481327800829875,-0.5020746887966805,-0.26141078838174275,-0.7302904564315352,-0.14522821576763487,-0.8796680497925311,-0.04564315352697095,-0.11203319502074689,-0.07468879668049792,-0.36929460580912865,-0.1078838174273859,-0.5560165975103735,-0.07053941908713693,-0.6887966804979253,-0.04564315352697095
5,Right,0.0,0.0,-0.25868725868725867,-0.015444015444015444,-0.42084942084942084,-0.07335907335907337,-0.5328185328185329,-0.10810810810810811,-0.6332046332046332,-0.1583011583011583,-0.5019305019305019,-0.25096525096525096,-0.6795366795366795,-0.28185328185328185,-0.8416988416988417,-0.28185328185328185,-0.9845559845559846,-0.2625482625482625,-0.47104247104247104,-0.28185328185328185,-0.6911196911196911,-0.3127413127413127,-0.8687258687258688,-0.28185328185328185,-1.0,-0.23552123552123552,-0.41312741312741313,-0.28185328185328185,-0.6177606177606177,-0.3166023166023166,-0.803088803088803,-0.28185328185328185,-0.9382239382239382,-0.2277992277992278,-0.3436293436293436,-0.23166023166023167,-0.4980694980694981,-0.25868725868725867,-0.637065637065637,-0.24324324324324326,-0.749034749034749,-0.2084942084942085
5,Right,0.0,0.0,-0.28169014084507044,0.009389671361502348,-0.5633802816901409,-0.14553990610328638,-0.7793427230046949,-0.1784037558685446,-1.0,-0.15023474178403756,-0.323943661971831,-0.6431924882629108,-0.5868544600938967,-0.7887323943661971,-0.8262910798122066,-0.7793427230046949,-0.9953051643192489,-0.6995305164319249,-0.23943661971830985,-0.6525821596244131,-0.568075117370892,-0.8309859154929577,-0.8215962441314554,-0.7605633802816901,-0.9953051643192489,-0.6525821596244131,-0.1643192488262911,-0.5868544600938967,-0.49295774647887325,-0.7605633802816901,-0.7370892018779343,-0.6854460093896714,-0.9014084507042254,-0.5868544600938967,-0.1267605633802817,-0.4460093896713615,-0.38967136150234744,-0.5821596244131455,-0.596244131455399,-0.5868544600938967,-0.7417840375586855,-0.5586854460093896
5,Right,0.0,0.0,-0.40239043824701193,-0.10756972111553785,-0.6294820717131474,-0.22709163346613545,-0.8167330677290837,-0.24701195219123506,-0.9920318725099602,-0.26294820717131473,-0.4581673306772908,-0.6215139442231076,-0.6613545816733067,-0.7051792828685259,-0.8366533864541833,-0.7330677290836654,-0.9960159362549801,-0.7290836653386454,-0.3705179282868526,-0.6533864541832669,-0.6334661354581673,-0.7649402390438247,-0.8446215139442231,-0.7808764940239044,-1.0,-0.749003984063745,-0.30677290836653387,-0.6294820717131474,-0.549800796812749,-0.7410358565737052,-0.7768924302788844,-0.7529880478087649,-0.9561752988047809,-0.7211155378486056,-0.2868525896414343,-0.5418326693227091,-0.4940239043824701,-0.6414342629482072,-0.6653386454183267,-0.6693227091633466,-0.8087649402390438,-0.6613545816733067
5,Right,0.0,0.0,-0.2912621359223301,-0.009708737864077669,-0.558252427184466,-0.1796116504854369,-0.7718446601941747,-0.21844660194174756,-0.9805825242718447,-0.2087378640776699,-0.32524271844660196,-0.6990291262135923,-0.558252427184466,-0.9174757281553398,-0.7961165048543689,-0.9271844660194175,-0.970873786407767,-0.8689320388349514,-0.2621359223300971,-0.7233009708737864,-0.5631067961165048,-0.9611650485436893,-0.8300970873786407,-0.9368932038834952,-1.0,-0.8495145631067961,-0.21844660194174756,-0.6941747572815534,-0.5145631067961165,-0.9271844660194175,-0.7912621359223301,-0.9077669902912622,-0.9660194174757282,-0.8349514563106796,-0.20388349514563106,-0.6067961165048543,-0.45145631067961167,-0.7864077669902912,-0.6601941747572816,-0.8203883495145631,-0.8106796116504854,-0.8106796116504854
5,Right,0.0,0.0,-0.39748953974895396,-0.1297071129707113,-0.6317991631799164,-0.2594142259414226,-0.8242677824267782,-0.29707112970711297,-1.0,-0.29707112970711297,-0.47280334728033474,-0.6694560669456067,-0.6485355648535565,-0.8368200836820083,-0.8326359832635983,-0.8702928870292888,-1.0,-0.8493723849372385,-0.40585774058577406,-0.6903765690376569,-0.6401673640167364,-0.8786610878661087,-0.8451882845188284,-0.8870292887029289,-1.0,-0.8410041841004184,-0.3514644351464435,-0.6610878661087866,-0.5606694560669456,-0.8535564853556485,-0.7824267782426778,-0.8702928870292888,-0.9497907949790795,-0.8242677824267782,-0.32217573221757323,-0.5815899581589958,-0.502092050209205,-0.7322175732217573,-0.6652719665271967,-0.7866108786610879,-0.8117154811715481,-0.7949790794979079
5,Right,0.0,0.0,-0.3938053097345133,-0.10619469026548672,-0.6238938053097345,-0.2345132743362832,-0.827433628318584,-0.2831858407079646,-1.0,-0.2831858407079646,-0.4778761061946903,-0.6858407079646017,-0.6504424778761062,-0.8628318584070797,-0.8362831858407079,-0.8805309734513275,-0.9823008849557522,-0.8362831858407079,-0.4026548672566372,-0.7212389380530974,-0.6194690265486725,-0.9292035398230089,-0.827433628318584,-0.9203539823008849,-0.9867256637168141,-0.8539823008849557,-0.3407079646017699,-0.7035398230088495,-0.5530973451327433,-0.915929203539823,-0.7699115044247787,-0.9247787610619469,-0.9380530973451328,-0.8761061946902655,-0.30973451327433627,-0.6327433628318584,-0.48672566371681414,-0.7964601769911505,-0.6548672566371682,-0.8451327433628318,-0.8008849557522124,-0.8584070796460177
5,Right,0.0,0.0,-0.35294117647058826,-0.04411764705882353,-0.6078431372549019,-0.16666666666666666,-0.8137254901960784,-0.20588235294117646,-1.0,-0.22058823529411764,-0.44607843137254904,-0.6813725490196079,-0.6372549019607843,-0.8480392156862745,-0.8186274509803921,-0.8676470588235294,-0.9656862745098039,-0.8431372549019608,-0.3872549019607843,-0.7401960784313726,-0.6127450980392157,-0.946078431372549,-0.8186274509803921,-0.9558823529411765,-0.9754901960784313,-0.8823529411764706,-0.3333333333333333,-0.7549019607843137,-0.5735294117647058,-0.9754901960784313,-0.803921568627451,-0.9803921568627451,-0.9803921568627451,-0.9264705882352942,-0.31862745098039214,-0.7254901960784313,-0.553921568627451,-0.8921568627450981,-0.75,-0.9215686274509803,-0.9215686274509803,-0.9117647058823529
5,Right,0.0,0.0,-0.3384615384615385,-0.02564102564102564,-0.5846153846153846,-0.14871794871794872,-0.7948717948717948,-0.1794871794871795,-0.9743589743589743,-0.19487179487179487,-0.4358974358974359,-0.6461538461538462,-0.6205128205128205,-0.8,-0.8,-0.8256410256410256,-0.9538461538461539,-0.8153846153846154,-0.37435897435897436,-0.7282051282051282,-0.6153846153846154,-0.9179487179487179,-0.8256410256410256,-0.9333333333333333,-1.0,-0.8769230769230769,-0.3128205128205128,-0.7692307692307693,-0.5794871794871795,-0.9641025641025641,-0.8,-0.9743589743589743,-0.9743589743589743,-0.9230769230769231,-0.28717948717948716,-0.764102564102564,-0.5384615384615384,-0.9230769230769231,-0.7333333333333333,-0.9487179487179487,-0.9025641025641026,-0.9333333333333333
