class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
0,Right,0.0,0.0,0.0,-0.24257425742574257,-0.1782178217821782,2.381996316665947e-05,-0.3613861386138614,-0.41089108910891087,4.031270087875107e-06,-0.47029702970297027,-0.5891089108910891,-2.9015393443439218e-05,-0.599009900990099,-0.7178217821782178,-6.193704247957522e-05,0.09900990099009901,-0.7079207920792079,-2.0885025745678607e-05,-0.039603960396039604,-0.9752475247524752,-5.5402920180135386e-05,-0.23267326732673269,-1.0,-5.79728080041231e-05,-0.3613861386138614,-0.9356435643564357,-5.345172100768344e-05,0.15841584158415842,-0.6584158415841584,-6.006778586216605e-05,-0.19306930693069307,-0.8762376237623762,-9.346366711960093e-05,-0.400990099009901,-0.7079207920792079,-7.516529014097695e-05,-0.4306930693069307,-0.5841584158415841,-5.593394924696242e-05,0.1485148514851485,-0.5742574257425742,-9.945192373812902e-05,-0.22277227722772278,-0.7376237623762376,-0.00012912122375491935,-0.3712871287128713,-0.5693069306930693,-9.320716612892689e-05,-0.36633663366336633,-0.44554455445544555,-6.532520322704193e-05,0.08415841584158416,-0.46534653465346537,-0.00013809409259462233,-0.22277227722772278,-0.5891089108910891,-0.00016194642557848911,-0.3415841584158416,-0.4900990099009901,-0.00014103962615172574,-0.33663366336633666,-0.3910891089108911,-0.00011991859486975405
0,Right,0.0,0.0,0.0,-0.273542600896861,-0.20179372197309417,1.22401374601436e-05,-0.3632286995515695,-0.4170403587443946,-2.1114485335834257e-06,-0.452914798206278,-0.5829596412556054,-2.6014724531224467e-05,-0.5336322869955157,-0.7040358744394619,-4.843266957514754e-05,0.04484304932735426,-0.695067264573991,-1.2616188622419051e-05,-0.04932735426008968,-0.9641255605381166,-5.27875548157216e-05,-0.23318385650224216,-1.0,-7.045676540203424e-05,-0.37668161434977576,-0.9641255605381166,-7.766551117830477e-05,0.09417040358744394,-0.6547085201793722,-4.1204959064297055e-05,-0.25112107623318386,-0.852017937219731,-8.096309471662533e-05,-0.43946188340807174,-0.7174887892376681,-7.964818417863191e-05,-0.47085201793721976,-0.5874439461883408,-7.448192486418467e-05,0.08071748878923767,-0.5739910313901345,-7.24724397969112e-05,-0.2825112107623318,-0.7174887892376681,-0.0001108099034185126,-0.4080717488789238,-0.57847533632287,-9.332780931934378e-05,-0.4125560538116592,-0.4484304932735426,-7.756303228442175e-05,0.013452914798206279,-0.47533632286995514,-0.00010395609595153095,-0.2825112107623318,-0.5560538116591929,-0.0001315392729316351,-0.38565022421524664,-0.47085201793721976,-0.0001224390068299861,-0.39461883408071746,-0.37668161434977576,-0.00011089104124353336
0,Right,0.0,0.0,0.0,-0.25311203319502074,-0.17427385892116182,-7.720592603878965e-06,-0.35269709543568467,-0.35684647302904565,-3.65351908842126e-05,-0.43568464730290457,-0.4979253112033195,-7.183082866466526e-05,-0.4979253112033195,-0.6265560165975104,-0.00010548755898510902,0.0,-0.6473029045643154,-4.032019016649353e-05,-0.029045643153526972,-0.91701244813278,-0.00010127893159246679,-0.1908713692946058,-1.0,-0.00013533011759955492,-0.33195020746887965,-1.0,-0.00014953395391396603,0.06639004149377593,-0.6016597510373444,-6.245898369803602e-05,-0.22821576763485477,-0.7842323651452282,-0.00011898851339990802,-0.3983402489626556,-0.6680497925311203,-0.0001256044975800696,-0.43568464730290457,-0.5560165975103735,-0.00012116148605134612,0.06639004149377593,-0.5186721991701245,-8.883817006439229e-05,-0.26141078838174275,-0.6390041493775933,-0.0001401655134916863,-0.3775933609958506,-0.5145228215767634,-0.000122497875979784,-0.3817427385892116,-0.4066390041493776,-0.00010045041002668914,0.02074688796680498,-0.42323651452282157,-0.00011687567095287248,-0.24896265560165975,-0.4979253112033195,-0.00014874839684770943,-0.34024896265560167,-0.4149377593360996,-0.0001343850686440887,-0.34024896265560167,-0.3278008298755187,-0.00011481526853628313
0,Right,0.0,0.0,0.0,-0.23616236162361623,-0.16236162361623616,-8.424311883574633e-06,-0.33948339483394835,-0.3173431734317343,-3.5585007379820136e-05,-0.4280442804428044,-0.43911439114391143,-6.920079672508985e-05,-0.47232472324723246,-0.5424354243542435,-0.00010221038098965156,-0.01107011070110701,-0.5940959409594095,-2.5341129198909838e-05,-0.02952029520295203,-0.8228782287822878,-7.292345457671724e-05,-0.11808118081180811,-0.9372693726937269,-0.0001025695347152158,-0.21033210332103322,-1.0,-0.00011920050902820572,0.04428044280442804,-0.5571955719557196,-4.5188606445604294e-05,-0.24354243542435425,-0.7011070110701108,-9.902910679289307e-05,-0.3874538745387454,-0.5867158671586716,-0.00010933090911400685,-0.4280442804428044,-0.4833948339483395,-0.00010772422989836449,0.04428044280442804,-0.4870848708487085,-6.889299976910144e-05,-0.26199261992619927,-0.5756457564575646,-0.00012049134273631078,-0.36162361623616235,-0.4575645756457565,-0.00010858034559761877,-0.36900369003690037,-0.36162361623616235,-8.959275401646772e-05,0.0036900369003690036,-0.3985239852398524,-9.407577660951198e-05,-0.24723247232472326,-0.45387453874538747,-0.00012775388552514362,-0.33579335793357934,-0.3763837638376384,-0.00011955904416313002,-0.34317343173431736,-0.2988929889298893,-0.00010437127617932745
0,Right,0.0,0.0,0.0,-0.24028268551236748,-0.1413427561837456,-8.650585562501035e-06,-0.3462897526501767,-0.2756183745583039,-3.246360373632286e-05,-0.4381625441696113,-0.38515901060070673,-6.268001254422564e-05,-0.48056537102473496,-0.4840989399293286,-9.30870890812029e-05,-0.04946996466431095,-0.5653710247349824,-2.3053388806708472e-05,-0.07420494699646643,-0.7773851590106007,-5.937984631938203e-05,-0.12367491166077739,-0.9081272084805654,-8.131094623210633e-05,-0.17667844522968199,-1.0,-9.602509258754323e-05,0.0,-0.5335689045936396,-4.139884086199086e-05,-0.2756183745583039,-0.6537102473498233,-9.371948672739922e-05,-0.4098939929328622,-0.5406360424028268,-0.0001031789399904461,-0.4452296819787986,-0.43462897526501765,-9.982571141509682e-05,0.0035335689045936395,-0.4664310954063604,-6.236617987282766e-05,-0.28975265017667845,-0.5335689045936396,-0.00011251991454207495,-0.38515901060070673,-0.42402826855123676,-0.00010184624700420377,-0.392226148409894,-0.3250883392226148,-8.291156393951385e-05,-0.038869257950530034,-0.37809187279151946,-8.464467297856102e-05,-0.27208480565371024,-0.4204946996466431,-0.00011824612012861956,-0.35335689045936397,-0.3498233215547703,-0.00011092512171437438,-0.36395759717314485,-0.2756183745583039,-9.562358395843178e-05
0,Right,0.0,0.0,0.0,-0.23103448275862068,-0.1310344827586207,-2.483461836386243e-06,-0.3413793103448276,-0.2620689655172414,-2.2242204275529345e-05,-0.43103448275862066,-0.3586206896551724,-4.9065021819500476e-05,-0.4827586206896552,-0.45517241379310347,-7.776759355068968e-05,-0.06551724137931035,-0.5551724137931034,-2.3498466902156743e-05,-0.07586206896551724,-0.7551724137931034,-5.612132539873226e-05,-0.1,-0.8896551724137931,-7.671080576798772e-05,-0.12758620689655173,-1.0,-9.195453309643618e-05,-0.006896551724137931,-0.5241379310344828,-4.317593840011996e-05,-0.2827586206896552,-0.6379310344827587,-8.905034816306974e-05,-0.4103448275862069,-0.5206896551724138,-9.571065338357502e-05,-0.4413793103448276,-0.41724137931034483,-9.23632359796633e-05,-0.006896551724137931,-0.45517241379310347,-6.432645712269524e-05,-0.2827586206896552,-0.5275862068965518,-0.00010971813028065028,-0.38275862068965516,-0.4206896551724138,-9.864461494767194e-05,-0.3931034482758621,-0.32068965517241377,-8.072483175623766e-05,-0.041379310344827586,-0.3689655172413793,-8.600853944483236e-05,-0.2655172413793103,-0.4206896551724138,-0.00012027927689347534,-0.3482758620689655,-0.35517241379310344,-0.00011462070223422647,-0.3689655172413793,-0.2793103448275862,-0.00010062311020227075
0,Right,0.0,0.0,0.0,-0.24041811846689895,-0.13240418118466898,-3.6819829402234634e-06,-0.34843205574912894,-0.2613240418118467,-2.3237278618241327e-05,-0.43205574912891986,-0.3554006968641115,-5.038357773151744e-05,-0.4912891986062718,-0.4529616724738676,-7.939741711633743e-05,-0.08013937282229965,-0.5644599303135889,-1.851850888713093e-05,-0.08362369337979095,-0.7526132404181185,-5.0163769378776225e-05,-0.10104529616724739,-0.89198606271777,-7.02509467864347e-05,-0.11846689895470383,-1.0,-8.51582281000584e-05,-0.027874564459930314,-0.5331010452961672,-3.8356572108698527e-05,-0.30313588850174217,-0.6341463414634146,-8.443008960797592e-05,-0.42857142857142855,-0.5121951219512195,-9.153127821323129e-05,-0.4564459930313589,-0.41114982578397213,-8.778147498540128e-05,-0.024390243902439025,-0.4634146341463415,-6.021483300090033e-05,-0.30313588850174217,-0.5226480836236934,-0.00010698619667088725,-0.397212543554007,-0.41114982578397213,-9.667271100943709e-05,-0.40418118466898956,-0.3170731707317073,-7.83539074892843e-05,-0.059233449477351915,-0.37282229965156793,-8.281771387423154e-05,-0.28222996515679444,-0.4146341463414634,-0.00011767206209096955,-0.3588850174216028,-0.34843205574912894,-0.0001119529367162852,-0.3693379790940767,-0.27177700348432055,-9.745084886817348e-05
0,Right,0.0,0.0,0.0,-0.2553191489361702,-0.12411347517730496,-8.612710602705167e-07,-0.36524822695035464,-0.25177304964539005,-1.9691510617987778e-05,-0.450354609929078,-0.3475177304964539,-4.6736457672357004e-05,-0.5106382978723404,-0.4397163120567376,-7.634545136432389e-05,-0.09574468085106383,-0.5638297872340425,-1.605853354153172e-05,-0.09574468085106383,-0.75177304964539,-4.79870389465756e-05,-0.09574468085106383,-0.8936170212765957,-6.924366758440517e-05,-0.10638297872340426,-1.0,-8.500344214080188e-05,-0.03900709219858156,-0.5390070921985816,-3.632118669494783e-05,-0.3262411347517731,-0.6312056737588653,-8.020612029746184e-05,-0.44680851063829785,-0.5035460992907801,-8.647400709124435e-05,-0.475177304964539,-0.3971631205673759,-8.302320595755759e-05,-0.03546099290780142,-0.4716312056737589,-5.859929125364059e-05,-0.32269503546099293,-0.5212765957446809,-0.00010380276295525921,-0.4148936170212766,-0.40425531914893614,-9.318269348317963e-05,-0.425531914893617,-0.30141843971631205,-7.529704635029258e-05,-0.07092198581560284,-0.3829787234042553,-8.140971932009716e-05,-0.30141843971631205,-0.4148936170212766,-0.00011654661778444208,-0.37943262411347517,-0.3404255319148936,-0.0001115170135227935,-0.39361702127659576,-0.2624113475177305,-9.76816486361613e-05
0,Right,0.0,0.0,0.0,-0.25177304964539005,-0.11702127659574468,-3.916665137778766e-06,-0.36879432624113473,-0.23404255319148937,-2.5800912719154173e-05,-0.4574468085106383,-0.3262411347517731,-5.59678412896868e-05,-0.5177304964539007,-0.425531914893617,-8.791140637891596e-05,-0.10638297872340426,-0.5602836879432624,-1.6440308413937565e-05,-0.09929078014184398,-0.75177304964539,-5.0221399363381624e-05,-0.10638297872340426,-0.8936170212765957,-7.234025436693977e-05,-0.11347517730496454,-1.0,-8.851691136515815e-05,-0.04609929078014184,-0.5425531914893617,-3.6959230495802034e-05,-0.3333333333333333,-0.6205673758865248,-8.396767139827189e-05,-0.45390070921985815,-0.4858156028368794,-9.110377540583389e-05,-0.475177304964539,-0.37943262411347517,-8.710053485728408e-05,-0.03900709219858156,-0.475177304964539,-6.003962321665353e-05,-0.32978723404255317,-0.5106382978723404,-0.00010767796843579558,-0.41843971631205673,-0.3900709219858156,-9.62477672160441e-05,-0.41843971631205673,-0.2872340425531915,-7.686370792722109e-05,-0.07092198581560284,-0.38652482269503546,-8.407293066457736e-05,-0.3049645390070922,-0.4078014184397163,-0.00012120686214413286,-0.38652482269503546,-0.3333333333333333,-0.00011604017512565047,-0.40070921985815605,-0.2553191489361702,-0.00010124476858245649
0,Right,0.0,0.0,0.0,-0.24561403508771928,-0.10526315789473684,-5.716967453893854e-06,-0.36140350877192984,-0.22456140350877193,-2.7720057201563258e-05,-0.45263157894736844,-0.3192982456140351,-5.733668367127577e-05,-0.5052631578947369,-0.4105263157894737,-8.872165969648904e-05,-0.09473684210526316,-0.5473684210526316,-1.934051828224407e-05,-0.09824561403508772,-0.7473684210526316,-5.234563776335171e-05,-0.11228070175438597,-0.8912280701754386,-7.299847725250219e-05,-0.12982456140350876,-1.0,-8.812861962336196e-05,-0.03859649122807018,-0.5263157894736842,-3.7695649366180095e-05,-0.3263157894736842,-0.6105263157894737,-8.416415915214179e-05,-0.4456140350877193,-0.47368421052631576,-8.996744905707083e-05,-0.4666666666666667,-0.3684210526315789,-8.51249507336972e-05,-0.03508771929824561,-0.4631578947368421,-5.856578111708163e-05,-0.3263157894736842,-0.5017543859649123,-0.00010519387384315331,-0.4105263157894737,-0.37894736842105264,-9.317295678934507e-05,-0.41403508771929826,-0.2771929824561403,-7.389933740943147e-05,-0.07368421052631578,-0.37543859649122807,-8.052839346158922e-05,-0.3017543859649123,-0.39649122807017545,-0.00011699288123591949,-0.37894736842105264,-0.3192982456140351,-0.00011225095267941031,-0.3894736842105263,-0.24210526315789474,-9.824201811883533e-05
