class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
2,Right,0.0,0.0,0.0,-0.3076923076923077,0.02197802197802198,-4.230316941193864e-05,-0.5824175824175825,0.2032967032967033,-9.3018322302575e-05,-0.7362637362637363,0.43956043956043955,-0.0001332073066953385,-0.8351648351648352,0.6373626373626373,-0.00018384055181240025,-0.5989010989010989,0.07692307692307693,-0.00020740299248154384,-0.8241758241758241,0.32967032967032966,-0.0002941663135249147,-0.9285714285714286,0.5384615384615384,-0.00034357391766515443,-1.0,0.7197802197802198,-0.00037569558123031854,-0.3791208791208791,0.12637362637362637,-0.00022565169544386376,-0.5769230769230769,0.4725274725274725,-0.0003039992172677049,-0.6868131868131868,0.7252747252747253,-0.00034109926053831904,-0.7802197802197802,0.9175824175824175,-0.0003755786234898492,-0.14835164835164835,0.2087912087912088,-0.00023883076955704934,-0.2967032967032967,0.5274725274725275,-0.0003139271159131059,-0.3956043956043956,0.7582417582417582,-0.0003465168560636833,-0.489010989010989,0.9340659340659341,-0.00037228227376003876,0.07692307692307693,0.3131868131868132,-0.0002495909430861084,-0.02197802197802198,0.532967032967033,-0.000323284697176166,-0.0989010989010989,0.6813186813186813,-0.0003532857085359886,-0.1813186813186813,0.8131868131868132,-0.0003746221245027771
2,Right,0.0,0.0,0.0,-0.30952380952380953,0.05238095238095238,-3.8801359952769654e-05,-0.5761904761904761,0.0761904761904762,-7.571552761239293e-05,-0.7619047619047619,0.14285714285714285,-0.00011023210730566493,-0.8714285714285714,0.21904761904761905,-0.00014792196023307724,-0.5761904761904761,-0.24285714285714285,-0.0001079635119507673,-0.7857142857142857,-0.19047619047619047,-0.00018828697073303147,-0.9095238095238095,-0.06666666666666667,-0.00024526024783636473,-1.0,0.06666666666666667,-0.0002809422668600329,-0.41904761904761906,-0.22857142857142856,-0.00012739464388702225,-0.6047619047619047,-0.08571428571428572,-0.00020595831101124823,-0.7285714285714285,0.1,-0.00024386941957317277,-0.8095238095238095,0.2571428571428571,-0.0002695934715368881,-0.24285714285714285,-0.1523809523809524,-0.00015007771477088672,-0.38571428571428573,-0.014285714285714285,-0.00022805272393978406,-0.5,0.1523809523809524,-0.000252654381415528,-0.5857142857142857,0.2857142857142857,-0.00026263846098652536,-0.06666666666666667,-0.047619047619047616,-0.00017414970692409984,-0.1619047619047619,0.06190476190476191,-0.00024593486243046093,-0.24761904761904763,0.1523809523809524,-0.0002682357096599644,-0.32857142857142857,0.22857142857142856,-0.00027672121138075617
2,Right,0.0,0.0,0.0,-0.29411764705882354,-0.041176470588235294,-4.181516423625787e-05,-0.5529411764705883,-0.13529411764705881,-0.00010255664434745714,-0.6823529411764706,-0.21176470588235294,-0.00016761829157328588,-0.7058823529411765,-0.29411764705882354,-0.00023291491696305816,-0.4294117647058823,-0.7352941176470589,-9.2877123954338e-05,-0.6647058823529411,-0.8235294117647058,-0.00020920581086836124,-0.8470588235294118,-0.7705882352941177,-0.00030308306064918446,-1.0,-0.6588235294117647,-0.0003589824659533078,-0.24705882352941178,-0.7411764705882353,-0.00012722361023177802,-0.5352941176470588,-0.7470588235294118,-0.00023916634852637946,-0.7411764705882353,-0.6,-0.0003026277863477677,-0.8823529411764706,-0.4470588235294118,-0.00033752832190321456,-0.047058823529411764,-0.6529411764705882,-0.00017054710384920046,-0.29411764705882354,-0.6588235294117647,-0.0002763203998372553,-0.4764705882352941,-0.5176470588235295,-0.00030947554923398335,-0.6235294117647059,-0.37058823529411766,-0.0003175166759971028,0.1411764705882353,-0.48823529411764705,-0.00021704353678118462,0.011764705882352941,-0.5235294117647059,-0.0003075903332082382,-0.12941176470588237,-0.49411764705882355,-0.00033604765049041,-0.2647058823529412,-0.45294117647058824,-0.000342683049916141
2,Right,0.0,0.0,0.0,-0.29891304347826086,-0.09782608695652174,-4.0006405534606536e-05,-0.5489130434782609,-0.2826086956521739,-8.470959807784494e-05,-0.657608695652174,-0.44021739130434784,-0.00013724546401961823,-0.5978260869565217,-0.5815217391304348,-0.00018654126884737573,-0.40217391304347827,-0.7771739130434783,-1.833640831844471e-05,-0.5489130434782609,-0.9891304347826086,-0.00010795869953847283,-0.717391304347826,-0.9891304347826086,-0.0001835376523135262,-0.875,-0.9456521739130435,-0.00022709749201958428,-0.23369565217391305,-0.782608695652174,-4.033158895921929e-05,-0.43478260869565216,-1.0,-0.00012671975751202873,-0.6304347826086957,-0.9619565217391305,-0.0001901682843680728,-0.782608695652174,-0.8967391304347826,-0.0002229345813417677,-0.059782608695652176,-0.7282608695652174,-7.38895227751767e-05,-0.23369565217391305,-0.8967391304347826,-0.0001533167307977556,-0.42391304347826086,-0.8586956521739131,-0.00019175683723436583,-0.5760869565217391,-0.7989130434782609,-0.0002029316553303194,0.10869565217391304,-0.6195652173913043,-0.0001113014592124829,-0.05434782608695652,-0.7717391304347826,-0.00016805891927734498,-0.20652173913043478,-0.8152173913043478,-0.00019041158226761962,-0.34782608695652173,-0.8369565217391305,-0.0001964427665224007
2,Right,0.0,0.0,0.0,-0.3149171270718232,-0.19337016574585636,-1.5217969767457096e-05,-0.5469613259668509,-0.40331491712707185,-2.9286330480597837e-05,-0.6740331491712708,-0.580110497237569,-5.340610327970509e-05,-0.6408839779005525,-0.7513812154696132,-7.573274052439067e-05,-0.39226519337016574,-0.6795580110497238,5.3426392924723824e-05,-0.49171270718232046,-0.8342541436464088,2.704108534514982e-05,-0.5966850828729282,-0.9226519337016574,-1.348774479567927e-05,-0.6961325966850829,-1.0,-4.772705772798616e-05,-0.27071823204419887,-0.7071823204419889,3.4552302245281134e-05,-0.39226519337016574,-0.8674033149171271,4.181687851641178e-06,-0.5193370165745856,-0.9447513812154696,-3.92430126535259e-05,-0.6298342541436464,-0.994475138121547,-7.093175207053352e-05,-0.13259668508287292,-0.7016574585635359,6.146744395615436e-06,-0.2541436464088398,-0.861878453038674,-2.8911311063314553e-05,-0.4088397790055249,-0.9392265193370166,-5.676960305778613e-05,-0.5580110497237569,-0.9613259668508287,-7.345415950973641e-05,0.011049723756906077,-0.6574585635359116,-2.5755118030371467e-05,-0.08839779005524862,-0.8397790055248618,-5.853456739068283e-05,-0.2154696132596685,-0.9226519337016574,-7.594894628827337e-05,-0.34806629834254144,-0.9613259668508287,-8.527562218475989e-05
2,Right,0.0,0.0,0.0,-0.25980392156862747,-0.18627450980392157,-8.792059955544183e-06,-0.43137254901960786,-0.39215686274509803,-1.001768445838155e-05,-0.5147058823529411,-0.5784313725490197,-1.8442405641819475e-05,-0.5098039215686274,-0.7549019607843137,-2.5829061672466785e-05,-0.3480392156862745,-0.553921568627451,5.014792124115238e-05,-0.46078431372549017,-0.6666666666666666,4.1181005968245664e-05,-0.553921568627451,-0.7352941176470589,2.1745285376969363e-05,-0.6176470588235294,-0.7941176470588235,5.264722647865762e-06,-0.24509803921568626,-0.5931372549019608,4.099434427163633e-05,-0.3333333333333333,-0.7352941176470589,3.835527740542079e-05,-0.4117647058823529,-0.8235294117647058,1.995684928876965e-05,-0.46078431372549017,-0.8872549019607843,3.0381911651075783e-06,-0.12254901960784313,-0.6078431372549019,2.413227426632231e-05,-0.19117647058823528,-0.7549019607843137,1.6756706224415672e-05,-0.27941176470588236,-0.8725490196078431,5.893865286819055e-06,-0.3480392156862745,-0.9656862745098039,-5.586886493827926e-06,0.0196078431372549,-0.5931372549019608,4.134933634742367e-06,-0.004901960784313725,-0.7696078431372549,-4.753603310754338e-06,-0.0392156862745098,-0.8872549019607843,-1.0272241396803042e-05,-0.0784313725490196,-1.0,-1.563098018500574e-05
2,Right,0.0,0.0,0.0,-0.19318181818181818,-0.07575757575757576,-2.669283625944877e-05,-0.3409090909090909,-0.23863636363636365,-4.255563034443121e-05,-0.38257575757575757,-0.4015151515151515,-6.11176935805594e-05,-0.32954545454545453,-0.5189393939393939,-7.710865740713628e-05,-0.29924242424242425,-0.553030303030303,9.1110998943144e-06,-0.3939393939393939,-0.7196969696969697,-1.8873272008388938e-05,-0.4621212121212121,-0.8143939393939394,-5.0798928728255966e-05,-0.5227272727272727,-0.8977272727272727,-7.657977907233949e-05,-0.1856060606060606,-0.5984848484848485,-3.4937432799199715e-06,-0.2840909090909091,-0.7916666666666666,-2.529386804544896e-05,-0.36363636363636365,-0.9015151515151515,-5.223255166692144e-05,-0.4393939393939394,-1.0,-7.368597639068389e-05,-0.056818181818181816,-0.5909090909090909,-2.3737151778768112e-05,-0.13257575757575757,-0.7840909090909091,-4.7462627880599165e-05,-0.19696969696969696,-0.8977272727272727,-6.599749226426417e-05,-0.26136363636363635,-0.9962121212121212,-8.043963842735928e-05,0.08333333333333333,-0.5340909090909091,-4.83475571855981e-05,0.05303030303030303,-0.696969696969697,-7.138254050017186e-05,0.011363636363636364,-0.803030303030303,-8.249547656703055e-05,-0.03787878787878788,-0.9015151515151515,-9.021585849163087e-05
2,Right,0.0,0.0,0.0,-0.22580645161290322,-0.18433179723502305,-8.24362027612943e-06,-0.35023041474654376,-0.4055299539170507,-9.538657041176638e-06,-0.41935483870967744,-0.5944700460829493,-1.7810245697524104e-05,-0.41013824884792627,-0.7741935483870968,-2.551238532006023e-05,-0.22119815668202766,-0.5576036866359447,5.331522305668118e-05,-0.2857142857142857,-0.695852534562212,4.669901306681263e-05,-0.3640552995391705,-0.7788018433179723,2.71916892158535e-05,-0.423963133640553,-0.8433179723502304,9.967505875421044e-06,-0.12903225806451613,-0.5944700460829493,4.598664142522288e-05,-0.16589861751152074,-0.7419354838709677,4.674578949418928e-05,-0.23963133640552994,-0.8433179723502304,2.817161009080842e-05,-0.2903225806451613,-0.9308755760368663,1.1505906993080978e-05,-0.02304147465437788,-0.6036866359447005,3.156258348174252e-05,-0.03225806451612903,-0.7603686635944701,2.788469406888126e-05,-0.0967741935483871,-0.8847926267281107,1.769498004707217e-05,-0.15207373271889402,-1.0,6.6845691219991605e-06,0.10138248847926268,-0.5852534562211982,1.4042883333947287e-05,0.12903225806451613,-0.7465437788018433,8.985423001632199e-06,0.11059907834101383,-0.8525345622119815,6.583614505977435e-06,0.08755760368663594,-0.9447004608294931,3.9793423301911645e-06
2,Right,0.0,0.0,0.0,-0.1870967741935484,-0.05806451612903226,-3.1645295512263266e-05,-0.3032258064516129,-0.2129032258064516,-4.6857052784745185e-05,-0.3193548387096774,-0.3741935483870968,-6.0204903116120856e-05,-0.2870967741935484,-0.4935483870967742,-7.231278155885437e-05,-0.2870967741935484,-0.4870967741935484,-1.2541135624503348e-05,-0.34838709677419355,-0.6709677419354839,-3.3363976217056884e-05,-0.38387096774193546,-0.7870967741935484,-5.5291101007663845e-05,-0.4064516129032258,-0.8903225806451613,-7.280941683243401e-05,-0.17419354838709677,-0.535483870967742,-1.9233290678522692e-05,-0.22903225806451613,-0.7483870967741936,-3.582135194537181e-05,-0.267741935483871,-0.8870967741935484,-5.765600541711856e-05,-0.3064516129032258,-1.0,-7.378954671849207e-05,-0.054838709677419356,-0.5290322580645161,-3.126396698622014e-05,-0.0935483870967742,-0.7322580645161291,-5.089761380031266e-05,-0.12580645161290321,-0.864516129032258,-6.931535890791727e-05,-0.16129032258064516,-0.9774193548387097,-8.318983610404156e-05,0.06451612903225806,-0.4774193548387097,-4.6472029011067296e-05,0.054838709677419356,-0.6419354838709678,-6.551348385115826e-05,0.04516129032258064,-0.7483870967741936,-7.264155645329186e-05,0.02903225806451613,-0.8483870967741935,-7.699166205426419e-05
2,Right,0.0,0.0,0.0,-0.1861198738170347,-0.05993690851735016,-2.922511990205872e-05,-0.29652996845425866,-0.2113564668769716,-4.1771489255550146e-05,-0.2996845425867508,-0.38170347003154576,-5.3203750024008814e-05,-0.2555205047318612,-0.4921135646687697,-6.337519686748702e-05,-0.27129337539432175,-0.4889589905362776,-8.911281569778344e-06,-0.3249211356466877,-0.6782334384858044,-2.82702557255808e-05,-0.3470031545741325,-0.7981072555205048,-4.8917142502255235e-05,-0.35646687697160884,-0.9022082018927445,-6.565727209887067e-05,-0.15772870662460567,-0.526813880126183,-1.5551190668872466e-05,-0.19873817034700317,-0.7539432176656151,-2.896147335151166e-05,-0.21766561514195584,-0.889589905362776,-4.793997652873029e-05,-0.23659305993690852,-1.0,-6.346220648695015e-05,-0.04416403785488959,-0.5141955835962145,-2.7803968660013147e-05,-0.05993690851735016,-0.7160883280757098,-4.34455254248279e-05,-0.07886435331230283,-0.8454258675078864,-5.961206608081991e-05,-0.09779179810725552,-0.9526813880126183,-7.353909911673301e-05,0.0694006309148265,-0.4668769716088328,-4.390240818894021e-05,0.07570977917981073,-0.6214511041009464,-5.9617718650641866e-05,0.07570977917981073,-0.722397476340694,-6.684620378589178e-05,0.0694006309148265,-0.8201892744479495,-7.295451058078037e-05
