class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
3,Right,0.0,0.0,0.0,-0.20853080568720378,-0.16587677725118483,-7.853334251965499e-05,-0.5118483412322274,-0.1848341232227488,-0.00013629658159713717,-0.7535545023696683,-0.11374407582938388,-0.0001667641949280867,-0.933649289099526,-0.1848341232227488,-0.00019671153880635817,-0.3696682464454976,0.02843601895734597,-0.00023197556050130082,-0.6729857819905213,0.1990521327014218,-0.00029232256205953235,-0.8672985781990521,0.2985781990521327,-0.0003148199785908375,-1.0,0.38388625592417064,-0.00033283608275794414,-0.3033175355450237,0.22274881516587677,-0.00020031825540982258,-0.7156398104265402,0.3791469194312796,-0.00024652514963015667,-0.7582938388625592,0.27014218009478674,-0.0002299364672419143,-0.7109004739336493,0.1943127962085308,-0.00021786853939098313,-0.25118483412322273,0.3744075829383886,-0.00016359884577567084,-0.6587677725118484,0.4976303317535545,-0.0001894233349623962,-0.6777251184834123,0.3886255924170616,-0.00016249043949634649,-0.6113744075829384,0.3127962085308057,-0.00014664966651558418,-0.22274881516587677,0.4834123222748815,-0.00013144872538513588,-0.47393364928909953,0.6824644549763034,-0.00017291998114293329,-0.6255924170616114,0.7582938388625592,-0.0001973925960256149,-0.7393364928909952,0.8151658767772512,-0.00021617208456203377
3,Right,0.0,0.0,0.0,-0.1645021645021645,-0.19047619047619047,-5.7863419246245696e-05,-0.45454545454545453,-0.2683982683982684,-0.00010015164876075578,-0.7012987012987013,-0.2943722943722944,-0.0001214761780370215,-0.8354978354978355,-0.42424242424242425,-0.00014198252228883997,-0.36796536796536794,-0.09090909090909091,-0.00018357305008548207,-0.6753246753246753,-0.030303030303030304,-0.0002270536708412598,-0.8614718614718615,0.008658008658008658,-0.0002388467626699487,-1.0,0.047619047619047616,-0.0002500527422968809,-0.3463203463203463,0.09956709956709957,-0.00016577903164350153,-0.7142857142857143,0.1645021645021645,-0.00021018707228882017,-0.7489177489177489,0.08225108225108226,-0.00020692183115202155,-0.7056277056277056,0.030303030303030304,-0.0002045165515094458,-0.3203463203463203,0.2510822510822511,-0.00014290507188543657,-0.6666666666666666,0.27705627705627706,-0.00017294900595820356,-0.6666666666666666,0.17316017316017315,-0.00016653231437008663,-0.6017316017316018,0.09956709956709957,-0.00016409652282601872,-0.30303030303030304,0.35064935064935066,-0.00012206200009495193,-0.5454545454545454,0.48484848484848486,-0.00015909971515274196,-0.6926406926406926,0.5324675324675324,-0.00018737716817173133,-0.8095238095238095,0.5714285714285714,-0.0002102004575310181
3,Right,0.0,0.0,0.0,-0.1336206896551724,-0.21120689655172414,-5.219498841368581e-05,-0.40086206896551724,-0.36637931034482757,-9.257602328197344e-05,-0.6293103448275862,-0.46551724137931033,-0.00011371943826132442,-0.7198275862068966,-0.6336206896551724,-0.00013598859743138475,-0.3706896551724138,-0.21551724137931033,-0.00017730698037077275,-0.6637931034482759,-0.22413793103448276,-0.00022741358004080473,-0.853448275862069,-0.22413793103448276,-0.00024714133653488284,-1.0,-0.20689655172413793,-0.000263141859798921,-0.3793103448275862,-0.017241379310344827,-0.00016419466504076065,-0.7456896551724138,-0.017241379310344827,-0.00021469869859086691,-0.7370689655172413,-0.08189655172413793,-0.00021374451044131604,-0.6637931034482759,-0.10775862068965517,-0.00021057094848188495,-0.36637931034482757,0.14655172413793102,-0.0001461341044135304,-0.7025862068965517,0.12931034482758622,-0.00018194872419722782,-0.6637931034482759,0.04310344827586207,-0.00017249917209489227,-0.5732758620689655,0.0,-0.0001646173730886357,-0.35344827586206895,0.2672413793103448,-0.00012957308553243139,-0.6120689655172413,0.34051724137931033,-0.0001690084466269473,-0.7629310344827587,0.3620689655172414,-0.00019256570520412967,-0.8879310344827587,0.38362068965517243,-0.0002097963289590914
3,Right,0.0,0.0,0.0,-0.1297071129707113,-0.18828451882845187,-2.8800299577946274e-05,-0.3514644351464435,-0.23430962343096234,-5.1472246825883406e-05,-0.5774058577405857,-0.19246861924686193,-6.727938225397887e-05,-0.7405857740585774,-0.17154811715481172,-8.170383098553298e-05,-0.4435146443514644,-0.16736401673640167,-0.00010561109190025972,-0.7447698744769874,-0.24267782426778242,-0.00014876822930069532,-0.895397489539749,-0.2803347280334728,-0.00015518034236270396,-1.0,-0.2803347280334728,-0.00015896346038922986,-0.4686192468619247,-0.02510460251046025,-0.00010638600683680023,-0.8117154811715481,-0.13389121338912133,-0.0001724351388497221,-0.7615062761506276,-0.200836820083682,-0.00017272309287890114,-0.6820083682008368,-0.2175732217573222,-0.00016031312215347053,-0.4686192468619247,0.08786610878661087,-0.00010539514196536414,-0.8075313807531381,-0.0041841004184100415,-0.00016742177097935938,-0.7364016736401674,-0.07112970711297072,-0.0001591323454117564,-0.6234309623430963,-0.09623430962343096,-0.0001407894368308247,-0.4560669456066946,0.17573221757322174,-0.00010376995679542992,-0.694560669456067,0.2301255230125523,-0.00016923004871201698,-0.8493723849372385,0.26778242677824265,-0.00020055956866520602,-0.9748953974895398,0.29707112970711297,-0.00021513949760900764
3,Right,0.0,0.0,0.0,-0.05238095238095238,-0.24761904761904763,-2.7968074899651996e-05,-0.2523809523809524,-0.5,-5.6587925841009156e-05,-0.4238095238095238,-0.7,-7.491713908132609e-05,-0.43333333333333335,-0.8952380952380953,-9.744633773638645e-05,-0.3476190476190476,-0.4238095238095238,-0.00012799086212787866,-0.6428571428571429,-0.5285714285714286,-0.0001761533841884092,-0.8428571428571429,-0.5714285714285714,-0.00019995885842998378,-1.0,-0.5952380952380952,-0.00021956972675340073,-0.4142857142857143,-0.2523809523809524,-0.00012782231048135087,-0.7571428571428571,-0.2857142857142857,-0.00017801680987465505,-0.6476190476190476,-0.22857142857142856,-0.00017088188554235424,-0.5142857142857142,-0.20476190476190476,-0.00016007238807808343,-0.44285714285714284,-0.06190476190476191,-0.00012402108634897198,-0.719047619047619,-0.0761904761904762,-0.00015983820923413106,-0.6190476190476191,-0.05238095238095238,-0.00013393553847034328,-0.49523809523809526,-0.047619047619047616,-0.00011129055424491121,-0.44761904761904764,0.12380952380952381,-0.00012069460611643801,-0.7,0.10952380952380952,-0.00015324655640368927,-0.8476190476190476,0.11904761904761904,-0.0001569369176707337,-0.9761904761904762,0.11904761904761904,-0.0001571001740831944
3,Right,0.0,0.0,0.0,-0.07203389830508475,-0.2542372881355932,3.1493893476264866e-06,-0.2076271186440678,-0.5,-2.9545316098732813e-06,-0.3347457627118644,-0.652542372881356,-5.186643474044067e-06,-0.3601694915254237,-0.8008474576271186,-1.029076029722103e-05,-0.3601694915254237,-0.4788135593220339,-6.131420676266882e-05,-0.597457627118644,-0.597457627118644,-9.372671457072575e-05,-0.7584745762711864,-0.6652542372881356,-0.00011399337507565283,-0.885593220338983,-0.7076271186440678,-0.00013079162456886383,-0.4194915254237288,-0.3432203389830508,-6.614615689554597e-05,-0.7203389830508474,-0.3686440677966102,-9.531477741172897e-05,-0.6186440677966102,-0.3093220338983051,-8.520136404500309e-05,-0.5127118644067796,-0.288135593220339,-7.439546498866545e-05,-0.4576271186440678,-0.1864406779661017,-6.76846465408614e-05,-0.711864406779661,-0.2076271186440678,-8.381846051759779e-05,-0.635593220338983,-0.1694915254237288,-5.538638987690855e-05,-0.5254237288135594,-0.15677966101694915,-3.3972639877494496e-05,-0.4830508474576271,-0.0211864406779661,-6.874775125978497e-05,-0.7330508474576272,-0.046610169491525424,-9.671188755467926e-05,-0.8771186440677966,-0.046610169491525424,-0.00010334636122905742,-1.0,-0.0635593220338983,-0.00010457246318366708
3,Right,0.0,0.0,0.0,-0.04602510460251046,-0.25523012552301255,1.497025507065081e-05,-0.1506276150627615,-0.5104602510460251,1.8939198253855928e-05,-0.2384937238493724,-0.6820083682008368,2.3853238038750258e-05,-0.200836820083682,-0.8284518828451883,2.50136269992494e-05,-0.3514644351464435,-0.5271966527196653,-3.817173875444316e-05,-0.5983263598326359,-0.6527196652719666,-6.160857655681538e-05,-0.7615062761506276,-0.7154811715481172,-7.955095797945476e-05,-0.8870292887029289,-0.7656903765690377,-9.753978473166253e-05,-0.41422594142259417,-0.41841004184100417,-4.440531844792218e-05,-0.6778242677824268,-0.401673640167364,-5.6459255074294656e-05,-0.5732217573221757,-0.3179916317991632,-3.711490195334917e-05,-0.4811715481171548,-0.30962343096234307,-2.5516385962710835e-05,-0.4560669456066946,-0.26778242677824265,-4.840998603503287e-05,-0.6694560669456067,-0.22594142259414227,-5.391483114273191e-05,-0.5857740585774058,-0.16736401673640167,-2.254524873184571e-05,-0.4895397489539749,-0.16736401673640167,-3.993140599857555e-06,-0.497907949790795,-0.100418410041841,-5.1555798854725246e-05,-0.7322175732217573,-0.1297071129707113,-7.832001451462095e-05,-0.8702928870292888,-0.12133891213389121,-8.408925781483143e-05,-1.0,-0.14644351464435146,-8.622354520957053e-05
3,Right,0.0,0.0,0.0,-0.004273504273504274,-0.24358974358974358,2.8251931522493074e-05,-0.08974358974358974,-0.49145299145299143,3.62599604204673e-05,-0.15384615384615385,-0.6581196581196581,4.09232398119741e-05,-0.09829059829059829,-0.782051282051282,4.044227140235024e-05,-0.34615384615384615,-0.5384615384615384,-2.056674612538998e-05,-0.5769230769230769,-0.6752136752136753,-3.9915213403692205e-05,-0.7264957264957265,-0.7564102564102564,-6.072101146074503e-05,-0.8418803418803419,-0.8247863247863247,-8.193175573726048e-05,-0.41452991452991456,-0.44017094017094016,-3.15460104472623e-05,-0.6282051282051282,-0.39316239316239315,-3.368296989482754e-05,-0.5213675213675214,-0.3076923076923077,-1.9408085322304263e-05,-0.43162393162393164,-0.3034188034188034,-1.7277929703548018e-05,-0.45726495726495725,-0.29914529914529914,-3.8498365306854864e-05,-0.6495726495726496,-0.24358974358974358,-3.6377560723949295e-05,-0.5555555555555556,-0.18803418803418803,-8.530366006150309e-06,-0.452991452991453,-0.18803418803418803,2.3611671819417115e-06,-0.49572649572649574,-0.13247863247863248,-4.3106175285018004e-05,-0.7307692307692307,-0.1623931623931624,-6.269471483699338e-05,-0.8717948717948718,-0.1623931623931624,-6.447063554647703e-05,-1.0,-0.19230769230769232,-6.623336251948695e-05
3,Right,0.0,0.0,0.0,0.008620689655172414,-0.24568965517241378,4.2905793966167887e-05,-0.0603448275862069,-0.47413793103448276,5.754197783025167e-05,-0.10775862068965517,-0.6379310344827587,6.611398320801291e-05,-0.034482758620689655,-0.7327586206896551,6.964608428706376e-05,-0.34051724137931033,-0.5689655172413793,-5.604384331204842e-06,-0.5431034482758621,-0.728448275862069,-1.3262626779919628e-05,-0.6939655172413793,-0.8103448275862069,-1.8969043921401862e-05,-0.8017241379310345,-0.8620689655172413,-2.8405649837085987e-05,-0.4224137931034483,-0.4827586206896552,-2.361900506384935e-05,-0.5991379310344828,-0.4353448275862069,-2.036738462397258e-05,-0.5172413793103449,-0.33189655172413796,2.4702756046077285e-07,-0.4396551724137931,-0.31896551724137934,9.231853241956366e-06,-0.47844827586206895,-0.3448275862068966,-3.621082146849105e-05,-0.6336206896551724,-0.3103448275862069,-3.5593173957056086e-05,-0.5603448275862069,-0.2413793103448276,-9.447657544016912e-06,-0.46551724137931033,-0.21982758620689655,3.1303488421779797e-06,-0.5172413793103449,-0.17672413793103448,-4.4301762607570424e-05,-0.7456896551724138,-0.2025862068965517,-6.653330357139488e-05,-0.8879310344827587,-0.20689655172413793,-7.048893964853787e-05,-1.0,-0.23275862068965517,-7.13303655087743e-05
3,Right,0.0,0.0,0.0,0.021929824561403508,-0.24561403508771928,4.2505363606973666e-05,-0.02631578947368421,-0.4605263157894737,6.286707737794672e-05,-0.04824561403508772,-0.6052631578947368,7.777567281339876e-05,0.02631578947368421,-0.6885964912280702,8.736196397233007e-05,-0.3157894736842105,-0.5789473684210527,-8.162930173676542e-07,-0.5219298245614035,-0.7192982456140351,-1.333223044740425e-05,-0.6798245614035088,-0.8114035087719298,-2.7674152858935985e-05,-0.7894736842105263,-0.881578947368421,-4.299325118526454e-05,-0.4166666666666667,-0.49122807017543857,-1.735196573037749e-05,-0.5570175438596491,-0.4605263157894737,-1.5046409298572658e-05,-0.4692982456140351,-0.36403508771929827,-4.4965429043511365e-06,-0.38596491228070173,-0.3333333333333333,-4.291576370095247e-06,-0.47368421052631576,-0.3508771929824561,-2.8852375992153855e-05,-0.6008771929824561,-0.33771929824561403,-3.1380079408867354e-05,-0.5175438596491229,-0.2675438596491228,-1.5242836666853838e-05,-0.4166666666666667,-0.2412280701754386,-9.892491615578305e-06,-0.5175438596491229,-0.18859649122807018,-3.53321426695e-05,-0.7412280701754386,-0.2236842105263158,-5.933243570554051e-05,-0.881578947368421,-0.22807017543859648,-6.528437939847147e-05,-1.0,-0.25,-6.82713800648995e-05
