class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
5,Right,0.0,0.0,0.0,-0.15897435897435896,-0.19487179487179487,-3.872077553629593e-05,-0.35384615384615387,-0.2564102564102564,-7.589176989448094e-05,-0.5333333333333333,-0.1794871794871795,-0.00010391509422818538,-0.6974358974358974,-0.09743589743589744,-0.00014062137294967687,-0.3641025641025641,-0.3128205128205128,-0.00016762643216441557,-0.6666666666666666,-0.18974358974358974,-0.00023571111763064396,-0.8358974358974359,-0.07179487179487179,-0.0002727456994997204,-0.9846153846153847,0.041025641025641026,-0.0002958412766908043,-0.28205128205128205,-0.1282051282051282,-0.00017781489098612796,-0.6153846153846154,-0.015384615384615385,-0.00024253688107627805,-0.8205128205128205,0.11282051282051282,-0.000273974930673896,-1.0,0.22564102564102564,-0.0003009686516332904,-0.2,0.046153846153846156,-0.00018412211312626898,-0.4666666666666667,0.16923076923076924,-0.00024125532390144872,-0.6666666666666666,0.28205128205128205,-0.0002681203599610973,-0.8358974358974359,0.3641025641025641,-0.00028801526324800675,-0.1282051282051282,0.2153846153846154,-0.00018968737206327327,-0.35384615384615387,0.3230769230769231,-0.00024331493183517785,-0.5076923076923077,0.39487179487179486,-0.000264801909571333,-0.6512820512820513,0.40512820512820513,-0.0002799488826127207
5,Right,0.0,0.0,0.0,-0.13857677902621723,-0.13857677902621723,-5.5560141711977005e-06,-0.36329588014981273,-0.21722846441947566,-3.039010123389454e-05,-0.5692883895131086,-0.1947565543071161,-5.0656971054353596e-05,-0.7116104868913857,-0.13857677902621723,-7.695841002687497e-05,-0.36329588014981273,-0.3445692883895131,-0.00012242492235689092,-0.6779026217228464,-0.2958801498127341,-0.0001747238821898503,-0.8614232209737828,-0.21722846441947566,-0.00019864564548404887,-0.9887640449438202,-0.14232209737827714,-0.00021177401497256854,-0.299625468164794,-0.24344569288389514,-0.00014234843063577694,-0.6479400749063671,-0.18726591760299627,-0.0001975819844132502,-0.8576779026217228,-0.08614232209737828,-0.0002148586251016856,-1.0,-0.003745318352059925,-0.00022652377869439893,-0.24719101123595505,-0.09737827715355805,-0.0001563858825763063,-0.5805243445692884,-0.052434456928838954,-0.0002035473880397243,-0.7752808988764045,0.026217228464419477,-0.00021459537125392763,-0.9026217228464419,0.0898876404494382,-0.00021920813173970888,-0.2209737827715356,0.07116104868913857,-0.00016689770303549356,-0.49063670411985016,0.10112359550561797,-0.00021186131512761526,-0.6554307116104869,0.13108614232209737,-0.00022684732085444026,-0.7827715355805244,0.149812734082397,-0.00023356420064374266
5,Right,0.0,0.0,0.0,-0.2054263565891473,-0.05426356589147287,7.485305607663218e-07,-0.46124031007751937,-0.15503875968992248,-2.357336147312429e-05,-0.6627906976744186,-0.17054263565891473,-4.8563588849776606e-05,-0.8372093023255814,-0.1434108527131783,-7.91424573856076e-05,-0.32945736434108525,-0.4418604651162791,-9.854082368162172e-05,-0.627906976744186,-0.4728682170542636,-0.00015535809218673665,-0.8333333333333334,-0.4263565891472868,-0.00018969475706670557,-0.9806201550387597,-0.36046511627906974,-0.00021098955602861112,-0.26744186046511625,-0.37209302325581395,-0.00012893996500943904,-0.6007751937984496,-0.40310077519379844,-0.00018658992975047314,-0.8372093023255814,-0.3333333333333333,-0.00021355926993995596,-1.0,-0.25193798449612403,-0.00023271810584542284,-0.21705426356589147,-0.2441860465116279,-0.00015499487638263661,-0.5465116279069767,-0.2751937984496124,-0.00020600721128017326,-0.7596899224806202,-0.2248062015503876,-0.0002235017087688087,-0.9031007751937985,-0.17054263565891473,-0.00023294282170943433,-0.1937984496124031,-0.07751937984496124,-0.00017771422346685205,-0.4418604651162791,-0.1124031007751938,-0.0002274211184578618,-0.6162790697674418,-0.11627906976744186,-0.0002465949854765097,-0.748062015503876,-0.11627906976744186,-0.0002565865028391782
5,Right,0.0,0.0,0.0,-0.3474903474903475,-0.04633204633204633,-1.2348772770880612e-06,-0.583011583011583,-0.15444015444015444,-2.2108211116068518e-05,-0.7606177606177607,-0.1969111969111969,-4.597383033731766e-05,-0.918918918918919,-0.2084942084942085,-7.614004095120357e-05,-0.41312741312741313,-0.4826254826254826,-7.358936776557521e-05,-0.6525096525096525,-0.4942084942084942,-0.00012733738154089625,-0.8455598455598455,-0.47104247104247104,-0.00016623320946393822,-1.0,-0.4362934362934363,-0.00019449294523414534,-0.3359073359073359,-0.4362934362934363,-0.00010508251887292512,-0.6293436293436293,-0.4555984555984556,-0.00015684389574218937,-0.8455598455598455,-0.39768339768339767,-0.0001871385893171316,-1.0,-0.3359073359073359,-0.0002122633278925404,-0.2702702702702703,-0.32432432432432434,-0.0001349843525383421,-0.5598455598455598,-0.3474903474903475,-0.00018957866884598438,-0.752895752895753,-0.30115830115830117,-0.000213736802464144,-0.888030888030888,-0.25096525096525096,-0.00023101257013109696,-0.21235521235521235,-0.1583011583011583,-0.00016220369671334208,-0.4015444015444015,-0.1891891891891892,-0.00021719703620036633,-0.528957528957529,-0.1969111969111969,-0.0002401778054838893,-0.6254826254826255,-0.2084942084942085,-0.000255587404078356
5,Right,0.0,0.0,0.0,-0.40476190476190477,-0.12301587301587301,2.7721417318027527e-05,-0.6507936507936508,-0.2619047619047619,2.4408662267150744e-05,-0.8293650793650794,-0.3134920634920635,4.340157552610672e-06,-1.0,-0.3055555555555556,-1.926318199388245e-05,-0.4603174603174603,-0.5396825396825397,4.4043059790184934e-05,-0.6666666666666666,-0.6071428571428571,1.7166047479428353e-05,-0.8293650793650794,-0.6349206349206349,-1.5584073468803054e-05,-0.9682539682539683,-0.6468253968253969,-4.409831760421312e-05,-0.39285714285714285,-0.5396825396825397,-1.058488891619417e-06,-0.6428571428571429,-0.6388888888888888,-3.382669071001346e-05,-0.8253968253968254,-0.6587301587301587,-7.129376832099814e-05,-0.9563492063492064,-0.6587301587301587,-0.00010199923707970232,-0.3412698412698413,-0.48412698412698413,-4.951783149488069e-05,-0.5992063492063492,-0.5992063492063492,-9.143765472821453e-05,-0.8055555555555556,-0.6190476190476191,-0.00012050834192761034,-0.9563492063492064,-0.6190476190476191,-0.0001400797458265004,-0.31746031746031744,-0.36507936507936506,-9.588313086046739e-05,-0.5515873015873016,-0.4603174603174603,-0.00013507509918557898,-0.7380952380952381,-0.49206349206349204,-0.00015666513737349908,-0.8849206349206349,-0.5119047619047619,-0.00017241742392025923
5,Right,0.0,0.0,0.0,-0.2821576763485477,-0.016597510373443983,3.2318746159829464e-06,-0.5311203319502075,-0.15352697095435686,-1.4235804847622222e-05,-0.7302904564315352,-0.1991701244813278,-3.91082214239078e-05,-0.9045643153526971,-0.17427385892116182,-6.521251691880058e-05,-0.29045643153526973,-0.6141078838174274,-5.3472008479988505e-06,-0.5850622406639004,-0.7012448132780082,-4.755983466981843e-05,-0.8049792531120332,-0.6846473029045643,-8.604069226568161e-05,-0.975103734439834,-0.6348547717842323,-0.00011300891890623253,-0.24481327800829875,-0.6141078838174274,-3.766460187389139e-05,-0.5933609958506224,-0.7053941908713693,-8.078723687659151e-05,-0.8215767634854771,-0.6804979253112033,-0.0001149642403126603,-1.0,-0.6265560165975104,-0.00013862037472515672,-0.22406639004149378,-0.5435684647302904,-7.244178281095998e-05,-0.5643153526970954,-0.6597510373443983,-0.00011224236700355255,-0.7925311203319502,-0.6473029045643154,-0.00013043823058484985,-0.9626556016597511,-0.6058091286307054,-0.0001400501906061419,-0.24481327800829875,-0.42323651452282157,-0.00010719720326081837,-0.5103734439834025,-0.5186721991701245,-0.00014252299502487983,-0.6846473029045643,-0.5435684647302904,-0.00015530982983862703,-0.8215767634854771,-0.5518672199170125,-0.00016141973874191516
5,Right,0.0,0.0,0.0,-0.40239043824701193,-0.13545816733067728,4.564854970897572e-05,-0.6533864541832669,-0.2788844621513944,5.381663828544643e-05,-0.8366533864541833,-0.32270916334661354,4.3062285471511056e-05,-1.0,-0.32270916334661354,2.8882518952018692e-05,-0.4302788844621514,-0.6374501992031872,7.955409383800161e-05,-0.6454183266932271,-0.7091633466135459,7.312241724219215e-05,-0.8047808764940239,-0.7529880478087649,5.114451426958893e-05,-0.9482071713147411,-0.7848605577689243,2.7828775694671837e-05,-0.3705179282868526,-0.6334661354581673,3.168839907078865e-05,-0.6334661354581673,-0.7370517928286853,1.9771199116457488e-05,-0.8047808764940239,-0.7649402390438247,-7.4786032438907685e-06,-0.9402390438247012,-0.7729083665338645,-3.320470714305266e-05,-0.3386454183266932,-0.5776892430278885,-1.8490739931478462e-05,-0.5976095617529881,-0.6932270916334662,-3.9101303670484724e-05,-0.796812749003984,-0.7290836653386454,-6.0192153429578994e-05,-0.9601593625498008,-0.7450199203187251,-7.79863995581723e-05,-0.3426294820717131,-0.46613545816733065,-6.5879970440563e-05,-0.5896414342629482,-0.5657370517928287,-8.620575540162892e-05,-0.7569721115537849,-0.6055776892430279,-9.817906104779578e-05,-0.900398406374502,-0.6334661354581673,-0.00010914580364457404
5,Right,0.0,0.0,0.0,-0.38132295719844356,-0.12062256809338522,4.477463691326415e-05,-0.6108949416342413,-0.2607003891050584,5.337892686985794e-05,-0.7898832684824902,-0.30739299610894943,4.2419467074991505e-05,-0.9416342412451362,-0.29571984435797666,2.9316983302409388e-05,-0.4046692607003891,-0.6614785992217899,9.365293157183227e-05,-0.6264591439688716,-0.7392996108949417,8.545498091598414e-05,-0.8093385214007782,-0.7704280155642024,6.010008620440249e-05,-0.9688715953307393,-0.7821011673151751,3.687370205843015e-05,-0.3463035019455253,-0.6731517509727627,4.550361244538399e-05,-0.6381322957198443,-0.7626459143968871,3.986490723399321e-05,-0.8404669260700389,-0.7898832684824902,1.628599756250106e-05,-1.0,-0.7898832684824902,-6.504605530751049e-06,-0.31906614785992216,-0.6303501945525292,-7.411007978849068e-06,-0.5992217898832685,-0.7315175097276264,-1.8900335055367188e-05,-0.8054474708171206,-0.7587548638132295,-3.600187991320407e-05,-0.980544747081712,-0.7587548638132295,-5.1266325763793463e-05,-0.33852140077821014,-0.5330739299610895,-5.9328585981961046e-05,-0.5719844357976653,-0.6381322957198443,-6.997498006265003e-05,-0.7276264591439688,-0.6848249027237354,-7.659468321773344e-05,-0.867704280155642,-0.7120622568093385,-8.366526246127467e-05
5,Right,0.0,0.0,0.0,-0.35537190082644626,-0.09917355371900827,3.833886594321477e-05,-0.5826446280991735,-0.2396694214876033,4.604994747020356e-05,-0.7727272727272727,-0.2892561983471074,3.398295480852645e-05,-0.9338842975206612,-0.2727272727272727,2.0270292066861433e-05,-0.40082644628099173,-0.6818181818181818,0.00010159835531571054,-0.628099173553719,-0.7851239669421488,8.097887351372385e-05,-0.8140495867768595,-0.8099173553719008,4.4489978309282245e-05,-0.9710743801652892,-0.7975206611570248,1.632407627509512e-05,-0.34710743801652894,-0.7107438016528925,5.4615325037382505e-05,-0.6322314049586777,-0.8305785123966942,3.622004935935869e-05,-0.8388429752066116,-0.8388429752066116,3.5773699068166263e-06,-1.0,-0.8099173553719008,-2.202056190073623e-05,-0.3140495867768595,-0.6859504132231405,9.14707304353906e-08,-0.5909090909090909,-0.8181818181818182,-1.8847157196541805e-05,-0.7975206611570248,-0.8347107438016529,-3.747543669803709e-05,-0.9628099173553719,-0.8181818181818182,-5.142281966758794e-05,-0.32231404958677684,-0.6115702479338843,-5.485826852644411e-05,-0.5454545454545454,-0.731404958677686,-7.108960850546808e-05,-0.7024793388429752,-0.7727272727272727,-8.040749856137673e-05,-0.8471074380165289,-0.8016528925619835,-8.77838350462779e-05
5,Right,0.0,0.0,0.0,-0.365296803652968,-0.0547945205479452,4.155318226346699e-05,-0.589041095890411,-0.1917808219178082,4.748922397595574e-05,-0.7853881278538812,-0.2328767123287671,3.170752918241787e-05,-0.954337899543379,-0.2054794520547945,1.239987688968727e-05,-0.3881278538812785,-0.6940639269406392,0.00010492858629151034,-0.6164383561643836,-0.817351598173516,8.783510026224684e-05,-0.8036529680365296,-0.8401826484018264,5.210672555351378e-05,-0.9634703196347032,-0.8264840182648402,2.3686249846443315e-05,-0.3333333333333333,-0.7351598173515982,5.252616517386492e-05,-0.6164383561643836,-0.867579908675799,3.9787751881613696e-05,-0.8264840182648402,-0.8812785388127854,8.825617663472602e-06,-1.0,-0.8493150684931506,-1.777861263955553e-05,-0.2968036529680365,-0.7168949771689498,-7.5119331813714705e-06,-0.5844748858447488,-0.863013698630137,-2.3917193622643426e-05,-0.7990867579908676,-0.8904109589041096,-4.1463925431193705e-05,-0.9771689497716894,-0.8858447488584474,-5.660560599570393e-05,-0.3013698630136986,-0.6484018264840182,-6.812421210377716e-05,-0.54337899543379,-0.7899543378995434,-8.12933599604808e-05,-0.7168949771689498,-0.8447488584474886,-8.786849733726608e-05,-0.8767123287671232,-0.8812785388127854,-9.514694060462239e-05
