class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
5,Right,0.0,0.0,0.0,-0.19230769230769232,-0.12393162393162394,-3.786153934498335e-05,-0.49145299145299143,-0.17094017094017094,-7.743298181914073e-05,-0.7264957264957265,-0.10256410256410256,-0.00010612788206539819,-0.9017094017094017,-0.02564102564102564,-0.00014207252359336474,-0.4017094017094017,-0.3333333333333333,-0.00018287752271765534,-0.6965811965811965,-0.2863247863247863,-0.0002576651771460559,-0.8717948717948718,-0.1623931623931624,-0.0002946387470384664,-1.0,-0.04700854700854701,-0.0003156799189662038,-0.27350427350427353,-0.21794871794871795,-0.00019590589769423735,-0.6025641025641025,-0.15384615384615385,-0.0002731375813590891,-0.8247863247863247,0.008547008547008548,-0.0003030146642734578,-0.9743589743589743,0.13675213675213677,-0.00032570477067962885,-0.16666666666666666,-0.0641025641025641,-0.00020486175029244395,-0.47863247863247865,-0.008547008547008548,-0.0002741263434524945,-0.6923076923076923,0.13247863247863248,-0.0003027967825511298,-0.8376068376068376,0.23504273504273504,-0.0003195141023656977,-0.09401709401709402,0.11538461538461539,-0.00021155167118654507,-0.3504273504273504,0.1581196581196581,-0.00027774936338823285,-0.5256410256410257,0.2264957264957265,-0.0003084002241216889,-0.6709401709401709,0.28205128205128205,-0.00032728314752300796
5,Right,0.0,0.0,0.0,-0.25311203319502074,-0.02074688796680498,-3.406032650148733e-05,-0.5518672199170125,-0.07883817427385892,-8.48638260992188e-05,-0.7925311203319502,-0.04979253112033195,-0.00012952691887765022,-1.0,0.024896265560165973,-0.0001789246160320673,-0.3817427385892116,-0.44398340248962653,-0.00016231183079361928,-0.6763485477178424,-0.46887966804979253,-0.00024881008820013895,-0.8672199170124482,-0.3817427385892116,-0.0003017700207786888,-0.991701244813278,-0.2821576763485477,-0.0003344400747296673,-0.26141078838174275,-0.37344398340248963,-0.00018548525414619716,-0.5975103734439834,-0.3900414937759336,-0.00027738689828309295,-0.8174273858921162,-0.24481327800829875,-0.0003138386010737292,-0.950207468879668,-0.11203319502074689,-0.00033788511808575944,-0.17427385892116182,-0.24481327800829875,-0.00020679120956708299,-0.5020746887966805,-0.26141078838174275,-0.0002872286824378187,-0.7302904564315352,-0.14522821576763487,-0.0003091536388960568,-0.8796680497925311,-0.04564315352697095,-0.00031999401725767574,-0.11203319502074689,-0.07468879668049792,-0.00022691111602817347,-0.36929460580912865,-0.1078838174273859,-0.00030160793200661545,-0.5560165975103735,-0.07053941908713693,-0.000328332793624515,-0.6887966804979253,-0.04564315352697095,-0.00034322301081200865
5,Right,0.0,0.0,0.0,-0.25868725868725867,-0.015444015444015444,1.2818033865350275e-05,-0.42084942084942084,-0.07335907335907337,8.019972330933094e-06,-0.5328185328185329,-0.10810810810810811,-6.700292038235703e-06,-0.6332046332046332,-0.1583011583011583,-2.412441507631683e-05,-0.5019305019305019,-0.25096525096525096,1.0558467305250332e-05,-0.6795366795366795,-0.28185328185328185,-2.4837360486385262e-05,-0.8416988416988417,-0.28185328185328185,-6.04078202503614e-05,-0.9845559845559846,-0.2625482625482625,-8.680119277271921e-05,-0.47104247104247104,-0.28185328185328185,-2.122499394905549e-05,-0.6911196911196911,-0.3127413127413127,-5.269616009030038e-05,-0.8687258687258688,-0.28185328185328185,-8.560640299716908e-05,-1.0,-0.23552123552123552,-0.0001101267168174925,-0.41312741312741313,-0.28185328185328185,-5.492400954318259e-05,-0.6177606177606177,-0.3166023166023166,-9.15195965613263e-05,-0.803088803088803,-0.28185328185328185,-0.00011881746669147862,-0.9382239382239382,-0.2277992277992278,-0.0001363045115367872,-0.3436293436293436,-0.23166023166023167,-8.762297167585559e-05,-0.4980694980694981,-0.25868725868725867,-0.0001223928248429476,-0.637065637065637,-0.24324324324324326,-0.00013855678753117273,-0.749034749034749,-0.2084942084942085,-0.00014780154848265307
5,Right,0.0,0.0,0.0,-0.28169014084507044,0.009389671361502348,-2.3354019876191408e-05,-0.5633802816901409,-0.14553990610328638,-5.9052899648700056e-05,-0.7793427230046949,-0.1784037558685446,-0.00010098121685414704,-1.0,-0.15023474178403756,-0.0001441886903124058,-0.323943661971831,-0.6431924882629108,-4.3887487698423e-05,-0.5868544600938967,-0.7887323943661971,-0.0001241798413061022,-0.8262910798122066,-0.7793427230046949,-0.00018951789149189676,-0.9953051643192489,-0.6995305164319249,-0.00023089115793249873,-0.23943661971830985,-0.6525821596244131,-8.017001377398316e-05,-0.568075117370892,-0.8309859154929577,-0.0001710058221524132,-0.8215962441314554,-0.7605633802816901,-0.00022830846488848996,-0.9953051643192489,-0.6525821596244131,-0.0002583115856701601,-0.1643192488262911,-0.5868544600938967,-0.00012266724227273307,-0.49295774647887325,-0.7605633802816901,-0.000209175898604364,-0.7370892018779343,-0.6854460093896714,-0.00024388778632329001,-0.9014084507042254,-0.5868544600938967,-0.00025301081238871345,-0.1267605633802817,-0.4460093896713615,-0.00016644704624614142,-0.38967136150234744,-0.5821596244131455,-0.00023897271175992777,-0.596244131455399,-0.5868544600938967,-0.0002669990326046766,-0.7417840375586855,-0.5586854460093896,-0.00027749571137118684
5,Right,0.0,0.0,0.0,-0.40239043824701193,-0.10756972111553785,5.8163373831736446e-05,-0.6294820717131474,-0.22709163346613545,5.756681163164043e-05,-0.8167330677290837,-0.24701195219123506,2.973853875429775e-05,-0.9920318725099602,-0.26294820717131473,-3.8230655825117195e-06,-0.4581673306772908,-0.6215139442231076,8.519769792466793e-05,-0.6613545816733067,-0.7051792828685259,4.383941742813713e-05,-0.8366533864541833,-0.7330677290836654,-8.375050996757764e-06,-0.9960159362549801,-0.7290836653386454,-4.814748394726489e-05,-0.3705179282868526,-0.6533864541832669,1.1558976462699811e-05,-0.6334661354581673,-0.7649402390438247,-3.2353065670008846e-05,-0.8446215139442231,-0.7808764940239044,-8.626498451104409e-05,-1.0,-0.749003984063745,-0.0001271193304439438,-0.30677290836653387,-0.6294820717131474,-6.75010831643359e-05,-0.549800796812749,-0.7410358565737052,-0.00011373484475987573,-0.7768924302788844,-0.7529880478087649,-0.00015618426797945392,-0.9561752988047809,-0.7211155378486056,-0.00018570697096785432,-0.2868525896414343,-0.5418326693227091,-0.0001439949103377703,-0.4940239043824701,-0.6414342629482072,-0.00018734964588794782,-0.6653386454183267,-0.6693227091633466,-0.00021508033582484786,-0.8087649402390438,-0.6613545816733067,-0.0002355675178749601
5,Right,0.0,0.0,0.0,-0.2912621359223301,-0.009708737864077669,4.2928042480307625e-06,-0.558252427184466,-0.1796116504854369,-1.1710263852214347e-05,-0.7718446601941747,-0.21844660194174756,-4.172289560489631e-05,-0.9805825242718447,-0.2087378640776699,-7.052760423879368e-05,-0.32524271844660196,-0.6990291262135923,3.172745967026706e-05,-0.558252427184466,-0.9174757281553398,-2.016027789874331e-05,-0.7961165048543689,-0.9271844660194175,-6.787040982489793e-05,-0.970873786407767,-0.8689320388349514,-9.791965024043402e-05,-0.2621359223300971,-0.7233009708737864,-1.128188711477483e-05,-0.5631067961165048,-0.9611650485436893,-6.122192853487001e-05,-0.8300970873786407,-0.9368932038834952,-0.00010012938936706075,-1.0,-0.8495145631067961,-0.00012239827961655844,-0.21844660194174756,-0.6941747572815534,-6.313611289454084e-05,-0.5145631067961165,-0.9271844660194175,-0.00010628551296296975,-0.7912621359223301,-0.9077669902912622,-0.00013177794573434695,-0.9660194174757282,-0.8349514563106796,-0.00014313408632070463,-0.20388349514563106,-0.6067961165048543,-0.00011768062442599337,-0.45145631067961167,-0.7864077669902912,-0.00015269937497377743,-0.6601941747572816,-0.8203883495145631,-0.00017183253828241177,-0.8106796116504854,-0.8106796116504854,-0.0001811412792130616
5,Right,0.0,0.0,0.0,-0.39748953974895396,-0.1297071129707113,3.481768305839655e-05,-0.6317991631799164,-0.2594142259414226,2.9596556215698258e-05,-0.8242677824267782,-0.29707112970711297,2.5748310816548703e-06,-1.0,-0.29707112970711297,-2.5479797519432443e-05,-0.47280334728033474,-0.6694560669456067,9.00637888423e-05,-0.6485355648535565,-0.8368200836820083,5.540954471641306e-05,-0.8326359832635983,-0.8702928870292888,8.30159180062636e-06,-1.0,-0.8493723849372385,-2.5443127180150353e-05,-0.40585774058577406,-0.6903765690376569,3.9742473968744284e-05,-0.6401673640167364,-0.8786610878661087,4.9819981826765865e-06,-0.8451882845188284,-0.8870292887029289,-3.959925759153585e-05,-1.0,-0.8410041841004184,-7.02572978651743e-05,-0.3514644351464435,-0.6610878661087866,-1.7848665038942782e-05,-0.5606694560669456,-0.8535564853556485,-4.372101463773459e-05,-0.7824267782426778,-0.8702928870292888,-7.133160768059706e-05,-0.9497907949790795,-0.8242677824267782,-8.91138444846215e-05,-0.32217573221757323,-0.5815899581589958,-7.594450684387513e-05,-0.502092050209205,-0.7322175732217573,-8.913770816431583e-05,-0.6652719665271967,-0.7866108786610879,-9.919179907020365e-05,-0.8117154811715481,-0.7949790794979079,-0.00010668647525814985
5,Right,0.0,0.0,0.0,-0.3938053097345133,-0.10619469026548672,3.0539289203795155e-05,-0.6238938053097345,-0.2345132743362832,2.3615390066849948e-05,-0.827433628318584,-0.2831858407079646,-4.968587770265578e-06,-1.0,-0.2831858407079646,-3.490053243747066e-05,-0.4778761061946903,-0.6858407079646017,8.719789281741441e-05,-0.6504424778761062,-0.8628318584070797,4.313116601864582e-05,-0.8362831858407079,-0.8805309734513275,-1.0376159311493441e-05,-0.9823008849557522,-0.8362831858407079,-4.6485600098405815e-05,-0.4026548672566372,-0.7212389380530974,3.671441941388674e-05,-0.6194690265486725,-0.9292035398230089,-2.128461628870785e-06,-0.827433628318584,-0.9203539823008849,-4.4882245868278314e-05,-0.9867256637168141,-0.8539823008849557,-7.414278989222464e-05,-0.3407079646017699,-0.7035398230088495,-2.295903196782404e-05,-0.5530973451327433,-0.915929203539823,-5.2936801517529325e-05,-0.7699115044247787,-0.9247787610619469,-7.338475100903651e-05,-0.9380530973451328,-0.8761061946902655,-8.684303803923122e-05,-0.30973451327433627,-0.6327433628318584,-8.416762026151992e-05,-0.48672566371681414,-0.7964601769911505,-0.0001002419841620168,-0.6548672566371682,-0.8451327433628318,-0.00010676612956739371,-0.8008849557522124,-0.8584070796460177,-0.00011224909754331399
5,Right,0.0,0.0,0.0,-0.35294117647058826,-0.04411764705882353,3.9458774916688395e-05,-0.6078431372549019,-0.16666666666666666,4.979931337693839e-05,-0.8137254901960784,-0.20588235294117646,3.517734579932552e-05,-1.0,-0.22058823529411764,2.0339156163972758e-05,-0.44607843137254904,-0.6813725490196079,0.00012923696086658662,-0.6372549019607843,-0.8480392156862745,0.00011309594453813495,-0.8186274509803921,-0.8676470588235294,7.884149849678468e-05,-0.9656862745098039,-0.8431372549019608,5.294109812525654e-05,-0.3872549019607843,-0.7401960784313726,7.53761567640022e-05,-0.6127450980392157,-0.946078431372549,6.48077775403633e-05,-0.8186274509803921,-0.9558823529411765,3.8234784223e-05,-0.9754901960784313,-0.8823529411764706,1.760581228963104e-05,-0.3333333333333333,-0.7549019607843137,1.0258210175476614e-05,-0.5735294117647058,-0.9754901960784313,-6.511635497753443e-06,-0.803921568627451,-0.9803921568627451,-2.054157695085883e-05,-0.9803921568627451,-0.9264705882352942,-3.029506490028276e-05,-0.31862745098039214,-0.7254901960784313,-5.694640116392886e-05,-0.553921568627451,-0.8921568627450981,-7.341459476508835e-05,-0.75,-0.9215686274509803,-8.030440960473194e-05,-0.9215686274509803,-0.9117647058823529,-8.510623575454153e-05
5,Right,0.0,0.0,0.0,-0.3384615384615385,-0.02564102564102564,5.333920848373125e-05,-0.5846153846153846,-0.14871794871794872,7.88401148762811e-05,-0.7948717948717948,-0.1794871794871795,7.641368524848355e-05,-0.9743589743589743,-0.19487179487179487,7.175233457030863e-05,-0.4358974358974359,-0.6461538461538462,0.0001619330254243323,-0.6205128205128205,-0.8,0.00016193911961717952,-0.8,-0.8256410256410256,0.00013386209379101882,-0.9538461538461539,-0.8153846153846154,0.0001083635515250045,-0.37435897435897436,-0.7282051282051282,0.00010252613625163156,-0.6153846153846154,-0.9179487179487179,0.00010468172294669132,-0.8256410256410256,-0.9333333333333333,7.490449850837859e-05,-1.0,-0.8769230769230769,4.960545031386013e-05,-0.3128205128205128,-0.7692307692307693,3.283159762700868e-05,-0.5794871794871795,-0.9641025641025641,2.601648230281101e-05,-0.8,-0.9743589743589743,7.267950540013911e-06,-0.9743589743589743,-0.9230769230769231,-7.940047413075473e-06,-0.28717948717948716,-0.764102564102564,-3.836038352125261e-05,-0.5384615384615384,-0.9230769230769231,-4.927052659404114e-05,-0.7333333333333333,-0.9487179487179487,-5.575957155682632e-05,-0.9025641025641026,-0.9333333333333333,-6.191657375368848e-05
