class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
6,Right,0.0,0.0,0.0,-0.1037037037037037,-0.2,-8.97469487854239e-05,-0.21481481481481482,-0.4740740740740741,-0.00017082949952522438,-0.2962962962962963,-0.7407407407407407,-0.0002346712342965997,-0.22962962962962963,-1.0,-0.0003118325651642964,0.07407407407407407,-0.2074074074074074,-0.0002429385640954041,-0.1259259259259259,-0.21481481481481482,-0.0003386600362880977,-0.24444444444444444,-0.18518518518518517,-0.00039973117608290657,-0.3037037037037037,-0.14074074074074075,-0.00044228513956749406,0.05925925925925926,0.05185185185185185,-0.00023994547270641913,-0.2814814814814815,0.07407407407407407,-0.0003251612675257918,-0.4148148148148148,0.15555555555555556,-0.0003557349181684694,-0.4666666666666667,0.22962962962962963,-0.0003930498265405007,-0.014814814814814815,0.26666666666666666,-0.00023556889128481425,-0.37037037037037035,0.2962962962962963,-0.00032502448038498086,-0.5111111111111111,0.362962962962963,-0.0003276330390309357,-0.5555555555555556,0.3925925925925926,-0.0003365506941368797,-0.08148148148148149,0.42962962962962964,-0.00023344348899319845,-0.3851851851851852,0.4666666666666667,-0.0003066214359316072,-0.5185185185185185,0.5185185185185185,-0.00030645440495252133,-0.5851851851851851,0.5407407407407407,-0.0003124044386172247
6,Right,0.0,0.0,0.0,-0.08571428571428572,-0.26666666666666666,-4.533109689866506e-05,-0.26666666666666666,-0.5761904761904761,-0.00010336018779562345,-0.34285714285714286,-0.8,-0.0001493443907028224,-0.2857142857142857,-1.0,-0.0001962343003789655,-0.13333333333333333,-0.3476190476190476,-0.00022357908423572073,-0.6142857142857143,-0.34285714285714286,-0.0002833987669587207,-0.5333333333333333,-0.34285714285714286,-0.00028950196327312365,-0.36666666666666664,-0.3333333333333333,-0.00028597006875958475,-0.1380952380952381,-0.1,-0.00022931588937953119,-0.6428571428571429,-0.11904761904761904,-0.00028199844807500645,-0.5380952380952381,-0.13333333333333333,-0.0002631098071035956,-0.35714285714285715,-0.11904761904761904,-0.00025401756203005004,-0.1619047619047619,0.11904761904761904,-0.00022836374065819952,-0.6142857142857143,0.07142857142857142,-0.000262019130801594,-0.5142857142857142,0.05238095238095238,-0.00021941250669218958,-0.3476190476190476,0.05238095238095238,-0.00019500937171039839,-0.19523809523809524,0.29523809523809524,-0.00022934872515259047,-0.5285714285714286,0.2571428571428571,-0.00025595599022763826,-0.4523809523809524,0.21904761904761905,-0.00022872131530841903,-0.319047619047619,0.21904761904761905,-0.00021191544866392304
6,Right,0.0,0.0,0.0,-0.04216867469879518,-0.3493975903614458,-7.704608616615817e-05,-0.29518072289156627,-0.6024096385542169,-0.00019823858786694438,-0.5180722891566265,-0.7108433734939759,-0.00031718030731996323,-0.6927710843373494,-0.7710843373493976,-0.0004470202962166089,-0.29518072289156627,-0.5301204819277109,-0.00031592721840619507,-0.6867469879518072,-0.5542168674698795,-0.00047725192464894025,-0.9156626506024096,-0.5060240963855421,-0.0005751927239915208,-1.0,-0.4457831325301205,-0.0006359803952932591,-0.28313253012048195,-0.26506024096385544,-0.00033990251352186126,-0.7590361445783133,-0.24096385542168675,-0.00047811412737946377,-0.963855421686747,-0.2289156626506024,-0.0005085421190052381,-0.9698795180722891,-0.18674698795180722,-0.0005355376820096285,-0.3072289156626506,0.018072289156626505,-0.000359952946010004,-0.7590361445783133,0.03614457831325301,-0.00046816481953560054,-0.9216867469879518,0.0,-0.00045435651488967153,-0.9096385542168675,-0.012048192771084338,-0.0004464382083867203,-0.3674698795180723,0.2710843373493976,-0.0003868361219432214,-0.7469879518072289,0.27710843373493976,-0.00044442098613161105,-0.8734939759036144,0.21686746987951808,-0.0004265248261868469,-0.8734939759036144,0.1927710843373494,-0.0004184790968024821
6,Right,0.0,0.0,0.0,-0.1437125748502994,-0.3652694610778443,1.3666918876151816e-05,-0.3712574850299401,-0.6706586826347305,-1.8401058986202708e-05,-0.5508982035928144,-0.8383233532934131,-4.842532753350994e-05,-0.7065868263473054,-0.9520958083832335,-8.488172664555749e-05,-0.3532934131736527,-0.5508982035928144,-0.00016736849862957216,-0.7964071856287425,-0.6287425149700598,-0.00021762632312473924,-0.9101796407185628,-0.6766467065868264,-0.0002219566273362244,-0.9041916167664671,-0.6586826347305389,-0.00021194083860833277,-0.39520958083832336,-0.281437125748503,-0.00019557070845200417,-0.9760479041916168,-0.38323353293413176,-0.00023266643541600677,-0.9640718562874252,-0.437125748502994,-0.00020532262616827605,-0.8203592814371258,-0.41916167664670656,-0.00018466997366764376,-0.4550898203592814,-0.029940119760479042,-0.00021114190883564165,-1.0,-0.1317365269461078,-0.00023064184052086663,-0.9281437125748503,-0.19760479041916168,-0.00017650853183753977,-0.7664670658682635,-0.19161676646706588,-0.0001397456718306249,-0.5089820359281437,0.19760479041916168,-0.00022233901611644138,-0.9461077844311377,0.10778443113772455,-0.0002355449917674686,-0.8862275449101796,0.029940119760479042,-0.00019084204355698648,-0.7305389221556886,0.005988023952095809,-0.0001545615863365949
6,Right,0.0,0.0,0.0,-0.0821917808219178,-0.2694063926940639,-1.8624951449820565e-05,-0.273972602739726,-0.5707762557077626,-5.8039634866238314e-05,-0.365296803652968,-0.8036529680365296,-9.218676843216714e-05,-0.3333333333333333,-1.0,-0.0001285067583643493,-0.3105022831050228,-0.4611872146118721,-0.00015124783551745502,-0.6940639269406392,-0.4748858447488584,-0.00019418621191584642,-0.634703196347032,-0.4246575342465753,-0.0001988153358888219,-0.4794520547945205,-0.3972602739726027,-0.00019417367520831232,-0.3333333333333333,-0.2420091324200913,-0.0001615849207296574,-0.7534246575342466,-0.2694063926940639,-0.00019223919489501557,-0.6757990867579908,-0.2374429223744292,-0.0001755684187466506,-0.5159817351598174,-0.2237442922374429,-0.00016520176935847232,-0.365296803652968,-0.0228310502283105,-0.0001655701138156545,-0.7488584474885844,-0.0593607305936073,-0.00018361133751148786,-0.6666666666666666,-0.0547945205479452,-0.00015272684380777634,-0.5114155251141552,-0.045662100456621,-0.000134444462849106,-0.3881278538812785,0.1872146118721461,-0.00016861440743919117,-0.684931506849315,0.1461187214611872,-0.00018019565455878992,-0.6301369863013698,0.1187214611872146,-0.00015509158664531644,-0.5068493150684932,0.1141552511415525,-0.00013755900115888697
6,Right,0.0,0.0,0.0,-0.16062176165803108,-0.33678756476683935,1.0000894138666324e-05,-0.36787564766839376,-0.6476683937823834,-1.2815590886978597e-05,-0.49740932642487046,-0.8497409326424871,-3.7430778287573494e-05,-0.5958549222797928,-1.0,-6.793657011522376e-05,-0.39896373056994816,-0.5284974093264249,-9.95078311595259e-05,-0.7461139896373057,-0.6062176165803109,-0.00013969763334291432,-0.8238341968911918,-0.5958549222797928,-0.00015400905985029096,-0.7875647668393783,-0.5544041450777202,-0.0001537482026702984,-0.45077720207253885,-0.29533678756476683,-0.00012216066519571555,-0.8911917098445595,-0.37305699481865284,-0.0001445657095209907,-0.8963730569948186,-0.38860103626943004,-0.00013204627311031898,-0.7927461139896373,-0.36787564766839376,-0.00012406956764132095,-0.49222797927461137,-0.07253886010362694,-0.0001382798225989598,-0.917098445595855,-0.15025906735751296,-0.0001484775152606652,-0.8601036269430051,-0.17616580310880828,-0.00011451821284639866,-0.7098445595854922,-0.16580310880829016,-9.35698245849001e-05,-0.5233160621761658,0.14507772020725387,-0.00015217250138416038,-0.8704663212435233,0.07772020725388601,-0.00016051468099386427,-0.8238341968911918,0.025906735751295335,-0.00013015852568112353,-0.689119170984456,0.0051813471502590676,-0.00010591064973247947
6,Right,0.0,0.0,0.0,-0.13839285714285715,-0.3169642857142857,8.466024788965156e-06,-0.32589285714285715,-0.6026785714285714,-1.5346975633870725e-05,-0.4107142857142857,-0.8214285714285714,-4.261317464422852e-05,-0.39732142857142855,-1.0,-7.302040767489684e-05,-0.40625,-0.5089285714285714,-8.044651610809663e-05,-0.7410714285714286,-0.5133928571428571,-0.00011141352389838964,-0.6741071428571429,-0.4642857142857143,-0.00011975993702753199,-0.5401785714285714,-0.44642857142857145,-0.0001193526413933602,-0.4419642857142857,-0.29910714285714285,-0.00010157804238775896,-0.8080357142857143,-0.33482142857142855,-0.00012033866253847407,-0.7142857142857143,-0.2857142857142857,-0.0001088118742862013,-0.5669642857142857,-0.26339285714285715,-0.00010073199403638171,-0.47767857142857145,-0.09375,-0.00011739546700280577,-0.7991071428571429,-0.12946428571428573,-0.00012340355366235217,-0.7053571428571429,-0.11607142857142858,-9.299746815414187e-05,-0.5625,-0.10714285714285714,-7.436991903165506e-05,-0.5044642857142857,0.11160714285714286,-0.00013156667086727802,-0.7723214285714286,0.0625,-0.00013306578422796398,-0.6919642857142857,0.049107142857142856,-0.00010416878222121609,-0.5669642857142857,0.05357142857142857,-8.217816907413189e-05
6,Right,0.0,0.0,0.0,-0.10909090909090909,-0.3090909090909091,8.591645138025038e-06,-0.3,-0.5909090909090909,-1.8800594341153695e-05,-0.39545454545454545,-0.8181818181818182,-4.8381850382626305e-05,-0.33636363636363636,-1.0,-8.173768061989571e-05,-0.41818181818181815,-0.4727272727272727,-9.807541535165659e-05,-0.7636363636363637,-0.4636363636363636,-0.0001312147427233189,-0.6681818181818182,-0.41363636363636364,-0.00013943109907393588,-0.5272727272727272,-0.40454545454545454,-0.00014039908189171578,-0.4409090909090909,-0.2590909090909091,-0.00012042899438787073,-0.7954545454545454,-0.2772727272727273,-0.00013975436113958492,-0.6863636363636364,-0.24545454545454545,-0.00012227177696655579,-0.5409090909090909,-0.2318181818181818,-0.0001132811867599544,-0.45454545454545453,-0.04090909090909091,-0.00013605197290988968,-0.7772727272727272,-0.07272727272727272,-0.0001446573934993367,-0.6727272727272727,-0.06818181818181818,-0.00010846525846063573,-0.5363636363636364,-0.06363636363636363,-8.795264169080173e-05,-0.4590909090909091,0.16818181818181818,-0.00014951671296406358,-0.7318181818181818,0.12727272727272726,-0.0001495690024933438,-0.65,0.10909090909090909,-0.0001150528247605077,-0.5363636363636364,0.10454545454545454,-9.138431138119397e-05
6,Right,0.0,0.0,0.0,-0.11818181818181818,-0.30454545454545456,2.3739608636865548e-07,-0.30454545454545456,-0.5772727272727273,-3.178680128664139e-05,-0.4,-0.8090909090909091,-6.491459295823176e-05,-0.33636363636363636,-1.0,-0.00010142853804602225,-0.45454545454545453,-0.4409090909090909,-0.00010519644905212612,-0.7863636363636364,-0.43636363636363634,-0.0001374902117251573,-0.6772727272727272,-0.39090909090909093,-0.000145463230420165,-0.5409090909090909,-0.38181818181818183,-0.00014749727278940062,-0.4727272727272727,-0.22272727272727272,-0.00012398125924839576,-0.8136363636363636,-0.25,-0.00014011306162577144,-0.6909090909090909,-0.22272727272727272,-0.0001218946902859518,-0.5545454545454546,-0.21363636363636362,-0.00011439592644564491,-0.4818181818181818,-0.013636363636363636,-0.00013626989975563865,-0.7772727272727272,-0.05454545454545454,-0.00014212840134439505,-0.6727272727272727,-0.05,-0.0001062194476343592,-0.5409090909090909,-0.045454545454545456,-8.780184946269158e-05,-0.4863636363636364,0.18181818181818182,-0.00014747344786462818,-0.740909090909091,0.1318181818181818,-0.00014593798480242852,-0.6545454545454545,0.11818181818181818,-0.00011071265572843587,-0.5363636363636364,0.12272727272727273,-8.765336277802243e-05
6,Right,0.0,0.0,0.0,-0.14814814814814814,-0.3148148148148148,6.0142023095011155e-06,-0.3611111111111111,-0.5787037037037037,-2.214071500190513e-05,-0.4675925925925926,-0.8101851851851852,-5.36961529677066e-05,-0.4027777777777778,-1.0,-8.910027716142795e-05,-0.5138888888888888,-0.4444444444444444,-9.074380280490909e-05,-0.8425925925925926,-0.42592592592592593,-0.00011792797047478816,-0.7268518518518519,-0.37037037037037035,-0.0001250240017415702,-0.5833333333333334,-0.3611111111111111,-0.00012819632788471132,-0.5324074074074074,-0.2222222222222222,-0.00011181868409916842,-0.8518518518518519,-0.22685185185185186,-0.00012256386142058036,-0.7314814814814815,-0.19907407407407407,-0.00010475130824827017,-0.5925925925925926,-0.19444444444444445,-9.901001501662395e-05,-0.5277777777777778,-0.009259259259259259,-0.00012637108223553692,-0.8240740740740741,-0.027777777777777776,-0.00012894297264212342,-0.7083333333333334,-0.023148148148148147,-9.449313502316756e-05,-0.5740740740740741,-0.018518518518518517,-7.829860822717983e-05,-0.5138888888888888,0.19444444444444445,-0.00013937326807638643,-0.7638888888888888,0.16203703703703703,-0.00013665531524601442,-0.6712962962962963,0.1527777777777778,-0.00010074946688529049,-0.5509259259259259,0.14814814814814814,-7.73870245171319e-05
