class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
7,Right,0.0,0.0,0.0,-0.24793388429752067,-0.045454545454545456,-4.8586638499554104e-05,-0.5619834710743802,0.03305785123966942,-8.77879221884343e-05,-0.8057851239669421,0.12396694214876033,-0.0001142655307410833,-1.0,0.17355371900826447,-0.00014650197628230752,-0.3925619834710744,-0.01652892561983471,-0.00017206250148978764,-0.5454545454545454,0.19421487603305784,-0.00023902822753236962,-0.6446280991735537,0.34297520661157027,-0.00027362236620095796,-0.731404958677686,0.47107438016528924,-0.0002970794724345863,-0.23553719008264462,0.08264462809917356,-0.00017657690679353779,-0.4132231404958678,0.3181818181818182,-0.00023974351405719742,-0.5537190082644629,0.49173553719008267,-0.00026853180318939446,-0.6570247933884298,0.6239669421487604,-0.00029731265713475616,-0.09090909090909091,0.19008264462809918,-0.00017821344837291828,-0.256198347107438,0.41735537190082644,-0.00023585488055478105,-0.3925619834710744,0.5702479338842975,-0.0002564532575096637,-0.5082644628099173,0.6859504132231405,-0.00027522230141533956,0.024793388429752067,0.29338842975206614,-0.0001798346885533043,-0.10330578512396695,0.47520661157024796,-0.0002367330484707164,-0.2190082644628099,0.5909090909090909,-0.0002615203142473191,-0.32644628099173556,0.6818181818181818,-0.00028119157112449316
7,Right,0.0,0.0,0.0,-0.24050632911392406,-0.05063291139240506,-4.512575922675255e-05,-0.5316455696202531,-0.06329113924050633,-7.904680658029585e-05,-0.7805907172995781,-0.03375527426160337,-0.00010413908883025356,-1.0,-0.02109704641350211,-0.00013249955882793722,-0.4050632911392405,-0.25738396624472576,-0.00014050578926473711,-0.6244725738396625,-0.17721518987341772,-0.0002157767101308865,-0.7721518987341772,-0.06329113924050633,-0.00026389299974450566,-0.8860759493670886,0.04219409282700422,-0.00029640478706851773,-0.2869198312236287,-0.17721518987341772,-0.00015016862643206654,-0.5189873417721519,-0.05063291139240506,-0.00022531106407923016,-0.6835443037974683,0.08860759493670886,-0.00026162953222138956,-0.7932489451476793,0.20675105485232068,-0.00029176140919304075,-0.17721518987341772,-0.05907172995780591,-0.00016002926551127717,-0.3881856540084388,0.06751054852320675,-0.000229775596583332,-0.5485232067510548,0.189873417721519,-0.00025227655432686003,-0.6708860759493671,0.2911392405063291,-0.0002675180687309718,-0.08438818565400844,0.08438818565400844,-0.00017038689289705644,-0.23628691983122363,0.1729957805907173,-0.00023913049213784637,-0.37130801687763715,0.24472573839662448,-0.00026731618000272944,-0.4767932489451477,0.3080168776371308,-0.0002846049221888774
7,Right,0.0,0.0,0.0,-0.2863849765258216,-0.046948356807511735,-4.315698050479093e-05,-0.5539906103286385,-0.2112676056338028,-7.752277039088273e-05,-0.7793427230046949,-0.29577464788732394,-0.00010522694107294361,-1.0,-0.3380281690140845,-0.0001341572569519729,-0.3004694835680751,-0.5586854460093896,-0.00012830103064428753,-0.5446009389671361,-0.6338028169014085,-0.00020429212559618578,-0.7323943661971831,-0.568075117370892,-0.0002549328124529347,-0.8779342723004695,-0.4788732394366197,-0.00028774709326062685,-0.18779342723004694,-0.49765258215962443,-0.00014303035626450893,-0.4647887323943662,-0.5211267605633803,-0.00021599541364762984,-0.6807511737089202,-0.4084507042253521,-0.00025075744412376565,-0.8309859154929577,-0.3051643192488263,-0.00027795431946426766,-0.09389671361502347,-0.3755868544600939,-0.00015953318241118545,-0.3474178403755869,-0.3755868544600939,-0.00022535112169488775,-0.5492957746478874,-0.2863849765258216,-0.00024367804585550033,-0.6807511737089202,-0.20657276995305165,-0.0002542933392642837,-0.028169014084507043,-0.2112676056338028,-0.0001777227255610261,-0.22535211267605634,-0.2347417840375587,-0.00023751290028705562,-0.38497652582159625,-0.20187793427230047,-0.00025710937889590786,-0.49765258215962443,-0.17370892018779344,-0.00026827454614029525
7,Right,0.0,0.0,0.0,-0.3020833333333333,-0.09375,-4.2436056501572957e-05,-0.5572916666666666,-0.2864583333333333,-8.77706566465702e-05,-0.765625,-0.390625,-0.00012998985666288002,-1.0,-0.4427083333333333,-0.00017386408480321927,-0.25,-0.6875,-0.0001182488863927927,-0.4479166666666667,-0.8645833333333334,-0.00020504988687550588,-0.6510416666666666,-0.875,-0.00026855640459001626,-0.8333333333333334,-0.8385416666666666,-0.00031220757127245827,-0.13020833333333334,-0.6510416666666666,-0.00014565178228358988,-0.3802083333333333,-0.828125,-0.000235248545226361,-0.6302083333333334,-0.7552083333333334,-0.0002806415179539776,-0.8020833333333334,-0.6666666666666666,-0.0003114693429116464,-0.03125,-0.546875,-0.0001767014560395535,-0.265625,-0.6770833333333334,-0.00025964422962755526,-0.515625,-0.625,-0.0002856603376983659,-0.6822916666666666,-0.546875,-0.0002979581030501978,0.041666666666666664,-0.3697916666666667,-0.00020953552444592677,-0.13541666666666666,-0.4895833333333333,-0.0002834501734109279,-0.3229166666666667,-0.4895833333333333,-0.00030980312921544476,-0.4635416666666667,-0.4739583333333333,-0.0003236504019033468
7,Right,0.0,0.0,0.0,-0.3804878048780488,-0.17560975609756097,1.1204622039463729e-06,-0.6146341463414634,-0.33170731707317075,-1.1973106788332189e-05,-0.8146341463414634,-0.43414634146341463,-3.849635710248937e-05,-1.0,-0.4975609756097561,-6.652979808055123e-05,-0.5317073170731708,-0.5317073170731708,4.175570460908946e-05,-0.7121951219512195,-0.6048780487804878,7.935951931904682e-06,-0.848780487804878,-0.6487804878048781,-3.8536899164225314e-05,-0.9609756097560975,-0.6926829268292682,-7.601548205234006e-05,-0.43414634146341463,-0.5853658536585366,8.929453349606974e-06,-0.5951219512195122,-0.6731707317073171,-2.664398938953227e-05,-0.7317073170731707,-0.7268292682926829,-8.282529454578064e-05,-0.8195121951219512,-0.7609756097560976,-0.00012881738329978328,-0.32195121951219513,-0.5902439024390244,-3.064866737430493e-05,-0.4585365853658537,-0.6878048780487804,-7.572142035668294e-05,-0.6292682926829268,-0.7219512195121951,-0.00012074994005980366,-0.7463414634146341,-0.7219512195121951,-0.00015324667405963748,-0.22439024390243903,-0.5414634146341464,-7.110980172155184e-05,-0.35609756097560974,-0.6390243902439025,-0.00011501259321292076,-0.5219512195121951,-0.6536585365853659,-0.0001437595136008401,-0.6487804878048781,-0.6390243902439025,-0.0001659754821893435
7,Right,0.0,0.0,0.0,-0.19387755102040816,-0.0663265306122449,-2.6831374064630014e-05,-0.3877551020408163,-0.25510204081632654,-6.222377726809187e-05,-0.5612244897959183,-0.336734693877551,-0.00010336945181029268,-0.7346938775510204,-0.3979591836734694,-0.0001421750405860442,-0.15816326530612246,-0.6683673469387755,-3.340262459516001e-05,-0.19387755102040816,-0.9540816326530612,-0.00010542133600471055,-0.37244897959183676,-1.0,-0.00016127089766254315,-0.5306122448979592,-0.9693877551020408,-0.0001937386842653711,-0.07653061224489796,-0.6530612244897959,-6.082406120984006e-05,-0.17346938775510204,-0.9693877551020408,-0.0001287281110825839,-0.39285714285714285,-0.9897959183673469,-0.00016682901178126516,-0.5612244897959183,-0.9438775510204082,-0.0001851243115752579,0.00510204081632653,-0.6020408163265306,-9.667585590399126e-05,-0.11224489795918367,-0.8877551020408163,-0.00015309135758185958,-0.336734693877551,-0.9183673469387755,-0.0001736226678445883,-0.5153061224489796,-0.8877551020408163,-0.00017917124065856629,0.0663265306122449,-0.5,-0.00013668943658206011,-0.04591836734693878,-0.7193877551020408,-0.00018296402333381308,-0.20918367346938777,-0.7908163265306123,-0.0002015118445916087,-0.3520408163265306,-0.8112244897959183,-0.00020766710753990765
7,Right,0.0,0.0,0.0,-0.2681818181818182,-0.1318181818181818,4.8701275691423715e-06,-0.4590909090909091,-0.2863636363636364,-7.095061962133801e-06,-0.6272727272727273,-0.3409090909090909,-3.2781092555749845e-05,-0.7681818181818182,-0.38181818181818183,-5.8253573528809323e-05,-0.3090909090909091,-0.6363636363636364,5.091483524841678e-05,-0.36818181818181817,-0.8454545454545455,1.4786488397829216e-05,-0.4863636363636364,-0.9363636363636364,-2.7351894690973535e-05,-0.6090909090909091,-0.9772727272727273,-5.583898428901693e-05,-0.2318181818181818,-0.6545454545454545,1.767202206389807e-05,-0.31363636363636366,-0.8909090909090909,-1.1796035951914453e-05,-0.4636363636363636,-0.9772727272727273,-4.672511660652745e-05,-0.6045454545454545,-1.0,-7.037309855635534e-05,-0.15454545454545454,-0.6409090909090909,-2.3977342590754025e-05,-0.22272727272727272,-0.8727272727272727,-4.911634658283471e-05,-0.39090909090909093,-0.9545454545454546,-7.173643627362835e-05,-0.55,-0.9681818181818181,-8.531240164291793e-05,-0.08181818181818182,-0.5863636363636363,-6.852874966243115e-05,-0.14545454545454545,-0.7681818181818182,-8.573369810939854e-05,-0.2727272727272727,-0.85,-9.517841813652016e-05,-0.4090909090909091,-0.8863636363636364,-0.00010060239001166754
7,Right,0.0,0.0,0.0,-0.2863247863247863,-0.14957264957264957,2.7529325380626072e-05,-0.46153846153846156,-0.29914529914529914,3.312874913007804e-05,-0.6111111111111112,-0.3888888888888889,1.8938189050667493e-05,-0.7478632478632479,-0.4188034188034188,3.5901594352144525e-06,-0.3076923076923077,-0.6282051282051282,9.821584712155882e-05,-0.4188034188034188,-0.811965811965812,8.041318626659567e-05,-0.5470085470085471,-0.8974358974358975,4.624925738135992e-05,-0.6752136752136753,-0.9444444444444444,1.94788576253308e-05,-0.23504273504273504,-0.6666666666666666,5.566611465400119e-05,-0.3504273504273504,-0.8888888888888888,4.033256904483879e-05,-0.5085470085470085,-0.9786324786324786,8.028693326668536e-06,-0.6452991452991453,-1.0,-1.7127395061641492e-05,-0.1623931623931624,-0.6752136752136753,4.885190091540855e-06,-0.23931623931623933,-0.9102564102564102,-1.1498181924837591e-05,-0.4188034188034188,-0.9743589743589743,-3.4712428914980826e-05,-0.5683760683760684,-0.9658119658119658,-5.074815592530428e-05,-0.09829059829059829,-0.6495726495726496,-4.787717896856795e-05,-0.1623931623931624,-0.8461538461538461,-5.9845561594830434e-05,-0.3034188034188034,-0.9145299145299145,-6.949913400186414e-05,-0.43162393162393164,-0.9145299145299145,-7.698918038789005e-05
7,Right,0.0,0.0,0.0,-0.27312775330396477,-0.11013215859030837,2.6839953935025676e-05,-0.44052863436123346,-0.2422907488986784,3.159948820945463e-05,-0.5903083700440529,-0.32158590308370044,1.4584452473445213e-05,-0.7400881057268722,-0.3788546255506608,-2.888313691967125e-06,-0.28634361233480177,-0.6431718061674009,0.0001128376342930564,-0.3876651982378855,-0.8325991189427313,9.955562867946049e-05,-0.5242290748898678,-0.9074889867841409,6.676216896311315e-05,-0.6431718061674009,-0.9427312775330396,4.216690801477655e-05,-0.22026431718061673,-0.6828193832599119,6.835521058659209e-05,-0.3303964757709251,-0.9162995594713657,5.869082699689584e-05,-0.5066079295154186,-0.986784140969163,2.9099957912435744e-05,-0.6563876651982379,-0.9823788546255506,7.12854190101589e-06,-0.15418502202643172,-0.6916299559471366,1.4200455252292e-05,-0.2422907488986784,-0.9515418502202643,2.7410935602302297e-06,-0.42731277533039647,-1.0,-1.225587436642403e-05,-0.5814977973568282,-0.9647577092511013,-2.2196803322384408e-05,-0.09251101321585903,-0.6784140969162996,-4.3049784515071945e-05,-0.16299559471365638,-0.9074889867841409,-5.015727326044415e-05,-0.29955947136563876,-0.947136563876652,-5.005170148736042e-05,-0.4185022026431718,-0.9162995594713657,-4.9625873728144936e-05
7,Right,0.0,0.0,0.0,-0.25462962962962965,-0.06481481481481481,1.6446700179487643e-05,-0.4444444444444444,-0.18981481481481483,2.2280473527209248e-05,-0.5972222222222222,-0.2638888888888889,9.801906557222935e-06,-0.7314814814814815,-0.3194444444444444,-1.7697310250092752e-06,-0.25462962962962965,-0.6157407407407407,0.00010805447420955992,-0.35185185185185186,-0.8009259259259259,0.00010986674170618991,-0.4675925925925926,-0.875,8.884960241155674e-05,-0.5694444444444444,-0.9120370370370371,7.073789635558002e-05,-0.19444444444444445,-0.6666666666666666,7.471066838153166e-05,-0.3055555555555556,-0.8981481481481481,7.892967174818301e-05,-0.4675925925925926,-0.9722222222222222,6.0661589733242614e-05,-0.6064814814814815,-0.9768518518518519,4.528862742178049e-05,-0.12962962962962962,-0.6898148148148148,3.139952713991388e-05,-0.2361111111111111,-0.9490740740740741,2.868979883644499e-05,-0.41203703703703703,-1.0,2.015108853808339e-05,-0.5509259259259259,-0.9768518518518519,1.4360575339536599e-05,-0.05555555555555555,-0.6944444444444444,-1.5568185944778876e-05,-0.13425925925925927,-0.9305555555555556,-1.7938839532551767e-05,-0.2777777777777778,-0.9768518518518519,-1.42160931244557e-05,-0.4074074074074074,-0.9490740740740741,-1.0847405593062265e-05
