class,hand,k0x,k0y,k0z,k1x,k1y,k1z,k2x,k2y,k2z,k3x,k3y,k3z,k4x,k4y,k4z,k5x,k5y,k5z,k6x,k6y,k6z,k7x,k7y,k7z,k8x,k8y,k8z,k9x,k9y,k9z,k10x,k10y,k10z,k11x,k11y,k11z,k12x,k12y,k12z,k13x,k13y,k13z,k14x,k14y,k14z,k15x,k15y,k15z,k16x,k16y,k16z,k17x,k17y,k17z,k18x,k18y,k18z,k19x,k19y,k19z,k20x,k20y,k20z
12,Right,0.0,0.0,0.0,-0.24651162790697675,-0.13023255813953488,-4.157966690595564e-05,-0.5813953488372093,-0.12093023255813953,-7.310564212915314e-05,-0.827906976744186,-0.08372093023255814,-9.014202709702362e-05,-1.0,-0.16279069767441862,-0.00010962424707861638,-0.42790697674418604,0.05581395348837209,-0.00014150509952007143,-0.7023255813953488,0.24186046511627907,-0.0001711857521939258,-0.8697674418604651,0.3302325581395349,-0.00017710584492078852,-0.9906976744186047,0.3953488372093023,-0.0001808472319387261,-0.3209302325581395,0.2372093023255814,-0.00012961544567656875,-0.6511627906976745,0.413953488372093,-0.00015169681802633002,-0.7116279069767442,0.3488372093023256,-0.00013913436809145932,-0.6651162790697674,0.2744186046511628,-0.00013148127898121793,-0.22325581395348837,0.37209302325581395,-0.00011197885579735538,-0.5488372093023256,0.49767441860465117,-0.0001222923219886472,-0.586046511627907,0.4325581395348837,-9.577586158657987e-05,-0.5348837209302325,0.35348837209302325,-7.965808122551522e-05,-0.15813953488372093,0.46511627906976744,-9.6068530788586e-05,-0.40930232558139534,0.49767441860465117,-0.00010241346255185796,-0.4604651162790698,0.49767441860465117,-8.533429738981584e-05,-0.4418604651162791,0.4604651162790698,-7.415549824298619e-05
12,Right,0.0,0.0,0.0,-0.17511520737327188,-0.1889400921658986,-2.555191798821412e-05,-0.4976958525345622,-0.28110599078341014,-5.59093708616122e-05,-0.7419354838709677,-0.31797235023041476,-7.580894889703933e-05,-0.8755760368663594,-0.45161290322580644,-0.00010140071471499797,-0.3870967741935484,-0.19815668202764977,-0.00013617725243276005,-0.6728110599078341,-0.1152073732718894,-0.00017437952075744943,-0.8571428571428571,-0.07834101382488479,-0.00018535625171061325,-1.0,-0.041474654377880185,-0.00019219312077352918,-0.33640552995391704,0.009216589861751152,-0.0001425501597647717,-0.7327188940092166,0.10138248847926268,-0.00018723508556376794,-0.7050691244239631,0.03686635944700461,-0.0001816960595725742,-0.5898617511520737,0.0,-0.00017244353717432432,-0.2764976958525346,0.1935483870967742,-0.0001412046346939528,-0.6543778801843319,0.2672811059907834,-0.00017409578067425599,-0.6221198156682027,0.18433179723502305,-0.00014504418153426452,-0.5161290322580645,0.12903225806451613,-0.00012080122831289509,-0.2304147465437788,0.3548387096774194,-0.00013929792124888702,-0.5483870967741935,0.4055299539170507,-0.00016259891679269218,-0.5391705069124424,0.31797235023041476,-0.0001409644221386476,-0.46543778801843316,0.25806451612903225,-0.00012253094755069292
12,Right,0.0,0.0,0.0,-0.115,-0.23,-1.5812725034773935e-05,-0.4,-0.405,-3.918238144484221e-05,-0.645,-0.53,-5.554781455662905e-05,-0.735,-0.71,-7.811586067196785e-05,-0.35,-0.405,-0.00011245791029301344,-0.635,-0.475,-0.00015677121628192127,-0.84,-0.48,-0.00017131243992713152,-1.0,-0.48,-0.00018115022380021272,-0.35,-0.23,-0.00012641987923649013,-0.785,-0.2,-0.00018169489849475084,-0.71,-0.165,-0.0001717225757625407,-0.555,-0.155,-0.0001539295648422545,-0.34,-0.03,-0.0001347405758884257,-0.715,0.01,-0.00018460358653333843,-0.62,0.01,-0.00014835402529802977,-0.48,-0.01,-0.00011212419878807723,-0.33,0.175,-0.0001411102821317023,-0.635,0.18,-0.00017782165829208552,-0.55,0.16,-0.0001520176527288264,-0.425,0.14,-0.00012516685921815096
12,Right,0.0,0.0,0.0,-0.07602339181286549,-0.24561403508771928,-4.6997038338964445e-07,-0.28654970760233917,-0.4853801169590643,-2.108897575907572e-05,-0.4853801169590643,-0.6374269005847953,-3.9205224508838666e-05,-0.6257309941520468,-0.7543859649122807,-6.438946409102452e-05,-0.3216374269005848,-0.5789473684210527,-0.00010601389176060265,-0.6140350877192983,-0.7485380116959064,-0.0001636785534887533,-0.8245614035087719,-0.8245614035087719,-0.00018756730430749107,-1.0,-0.8771929824561403,-0.00020258449413367564,-0.34502923976608185,-0.4327485380116959,-0.00013356733700081301,-0.8245614035087719,-0.40350877192982454,-0.00020070335324489267,-0.7368421052631579,-0.28654970760233917,-0.0001902156153592,-0.5847953216374269,-0.2573099415204678,-0.00017125716643119797,-0.3684210526315789,-0.22807017543859648,-0.00015649001765413972,-0.783625730994152,-0.16374269005847952,-0.0002229474973234764,-0.672514619883041,-0.0935672514619883,-0.00018452101896822485,-0.5263157894736842,-0.10526315789473684,-0.00014471921136249258,-0.3742690058479532,-0.005847953216374269,-0.0001759673603071354,-0.7017543859649122,0.023391812865497075,-0.00022750450769804754,-0.6081871345029239,0.06432748538011696,-0.00019937157285585422,-0.47953216374269003,0.05847953216374269,-0.00016729648571358471
12,Right,0.0,0.0,0.0,-0.047619047619047616,-0.26455026455026454,1.7723168686963635e-05,-0.20634920634920634,-0.48677248677248675,6.056091656509271e-06,-0.37566137566137564,-0.5978835978835979,-7.205384367569359e-06,-0.5079365079365079,-0.6349206349206349,-2.6639169957207884e-05,-0.2275132275132275,-0.5873015873015873,-6.840905887938581e-05,-0.43915343915343913,-0.8095238095238095,-0.000113100267727948,-0.6084656084656085,-0.9206349206349206,-0.00012974681612401312,-0.746031746031746,-1.0,-0.00014019334810792353,-0.2698412698412698,-0.48148148148148145,-9.602299496020489e-05,-0.671957671957672,-0.5026455026455027,-0.00014229167207249158,-0.6190476190476191,-0.38095238095238093,-0.00012561846518368219,-0.49206349206349204,-0.3386243386243386,-0.0001069278066376835,-0.32275132275132273,-0.32275132275132273,-0.000119030368132975,-0.6666666666666666,-0.2804232804232804,-0.000161537773373044,-0.582010582010582,-0.20634920634920634,-0.00012590043418032052,-0.4656084656084656,-0.20634920634920634,-9.471766506594225e-05,-0.3544973544973545,-0.14814814814814814,-0.00013844513244455354,-0.6243386243386243,-0.1111111111111111,-0.00016776417233051345,-0.544973544973545,-0.0582010582010582,-0.00014091994725563438,-0.43915343915343913,-0.06349206349206349,-0.00011487881789803404
12,Right,0.0,0.0,0.0,-0.09134615384615384,-0.27884615384615385,3.090033777106149e-05,-0.2548076923076923,-0.5144230769230769,3.472741311965536e-05,-0.41346153846153844,-0.6346153846153846,2.8591141357351925e-05,-0.5336538461538461,-0.6923076923076923,1.9839124773894336e-05,-0.30288461538461536,-0.6442307692307693,1.874861096294909e-05,-0.46634615384615385,-0.7980769230769231,-6.446076940193228e-06,-0.5480769230769231,-0.9086538461538461,-2.222245859793863e-05,-0.5961538461538461,-1.0,-3.3514006025608944e-05,-0.34134615384615385,-0.5673076923076923,-1.2125637962432464e-05,-0.6682692307692307,-0.6105769230769231,-3.731247678637622e-05,-0.6153846153846154,-0.5240384615384616,-3.10310351177546e-05,-0.5,-0.4951923076923077,-2.0596691763551217e-05,-0.3701923076923077,-0.4423076923076923,-4.2857459457827334e-05,-0.6826923076923077,-0.4326923076923077,-6.706628532745635e-05,-0.6009615384615384,-0.36538461538461536,-3.822268341261724e-05,-0.49038461538461536,-0.375,-1.3904366694053807e-05,-0.3798076923076923,-0.28846153846153844,-7.170013005009182e-05,-0.6538461538461539,-0.27403846153846156,-8.811481132052383e-05,-0.5721153846153846,-0.23076923076923078,-6.476402010290786e-05,-0.46634615384615385,-0.24519230769230768,-4.3248319423348886e-05
12,Right,0.0,0.0,0.0,-0.07377049180327869,-0.27049180327868855,4.1891609287964987e-05,-0.20081967213114754,-0.47950819672131145,4.7819889700138646e-05,-0.3483606557377049,-0.5819672131147541,4.494335870329423e-05,-0.47950819672131145,-0.6065573770491803,3.8616945524264045e-05,-0.21311475409836064,-0.6229508196721312,1.6397233976027496e-05,-0.36065573770491804,-0.7950819672131147,5.66489686878683e-06,-0.46311475409836067,-0.9057377049180327,-3.436263578188978e-06,-0.5450819672131147,-1.0,-1.4070864774524209e-05,-0.25,-0.5573770491803278,-1.4373471136030137e-05,-0.5532786885245902,-0.6147540983606558,-1.6578516648128894e-05,-0.5245901639344263,-0.5245901639344263,-2.147068615034122e-06,-0.4385245901639344,-0.5040983606557377,4.39404232849545e-06,-0.29508196721311475,-0.45491803278688525,-4.190479205224409e-05,-0.5778688524590164,-0.47950819672131145,-4.141341633794789e-05,-0.5204918032786885,-0.4016393442622951,-1.0731065684037151e-05,-0.4344262295081967,-0.3975409836065574,4.338550388941978e-06,-0.3401639344262295,-0.3319672131147541,-6.709099501437879e-05,-0.5614754098360656,-0.3442622950819672,-6.593145260623295e-05,-0.5,-0.29098360655737704,-4.05998488155843e-05,-0.4180327868852459,-0.2786885245901639,-2.371749923127159e-05
12,Right,0.0,0.0,0.0,-0.0163265306122449,-0.2571428571428571,3.460016485443786e-05,-0.10612244897959183,-0.46122448979591835,3.87228752040463e-05,-0.23673469387755103,-0.5714285714285714,3.226066354042062e-05,-0.35918367346938773,-0.5959183673469388,2.2473316676795623e-05,-0.12653061224489795,-0.6122448979591837,1.2071103997105378e-05,-0.24897959183673468,-0.8204081632653061,-8.332267252429267e-06,-0.3673469387755102,-0.926530612244898,-1.6735724839595976e-05,-0.46122448979591835,-1.0,-2.3581738337537322e-05,-0.17551020408163265,-0.5591836734693878,-1.728258225014366e-05,-0.46530612244897956,-0.6244897959183674,-4.009557770158914e-05,-0.46530612244897956,-0.5183673469387755,-3.0412966614442073e-05,-0.3877551020408163,-0.4775510204081633,-2.1261120063884994e-05,-0.23673469387755103,-0.46530612244897956,-4.501615780284561e-05,-0.49795918367346936,-0.4857142857142857,-6.272762858073673e-05,-0.4775510204081633,-0.39591836734693875,-3.7047716238636007e-05,-0.4,-0.37551020408163266,-1.8943632174478362e-05,-0.2938775510204082,-0.3510204081632653,-7.091876267714511e-05,-0.49795918367346936,-0.363265306122449,-7.886654028414815e-05,-0.46938775510204084,-0.2938775510204082,-5.827891731684656e-05,-0.4,-0.27346938775510204,-4.155998931791452e-05
12,Right,0.0,0.0,0.0,0.0,-0.24034334763948498,2.740213119218151e-05,-0.07725321888412018,-0.45064377682403434,2.7236026013760873e-05,-0.2145922746781116,-0.5493562231759657,1.7892638206884852e-05,-0.33905579399141633,-0.5579399141630901,4.908057930470803e-06,-0.0815450643776824,-0.6008583690987125,2.5502537000364865e-06,-0.2145922746781116,-0.8111587982832618,-1.929674498076218e-05,-0.33047210300429186,-0.9184549356223176,-2.9095261735958334e-05,-0.41630901287553645,-1.0,-3.730053538427459e-05,-0.12875536480686695,-0.5493562231759657,-2.5739966310637436e-05,-0.4334763948497854,-0.6266094420600858,-5.3896791599959505e-05,-0.4334763948497854,-0.51931330472103,-4.691104089508368e-05,-0.351931330472103,-0.47639484978540775,-3.893941529585695e-05,-0.19742489270386265,-0.45064377682403434,-5.234673907711397e-05,-0.47639484978540775,-0.4892703862660944,-7.677368340712887e-05,-0.4592274678111588,-0.3905579399141631,-5.284732695951609e-05,-0.3776824034334764,-0.36909871244635195,-3.3865805737814924e-05,-0.27467811158798283,-0.33476394849785407,-7.727810050423692e-05,-0.49356223175965663,-0.36909871244635195,-9.064732799597179e-05,-0.4678111587982833,-0.296137339055794,-7.045715792123468e-05,-0.3948497854077253,-0.26180257510729615,-5.269758787672534e-05
12,Right,0.0,0.0,0.0,0.00904977375565611,-0.2579185520361991,3.038493048495047e-05,-0.06787330316742081,-0.4751131221719457,3.158588148024037e-05,-0.22171945701357465,-0.579185520361991,2.33280780953009e-05,-0.3574660633484163,-0.5746606334841629,1.1538527781650688e-05,-0.06334841628959276,-0.6063348416289592,8.607823150975329e-06,-0.19004524886877827,-0.8235294117647058,-8.713902305043465e-06,-0.3031674208144796,-0.9321266968325792,-1.5166326343767587e-05,-0.39819004524886875,-1.0,-2.08433189858919e-05,-0.12217194570135746,-0.5565610859728507,-1.9680933594862603e-05,-0.416289592760181,-0.6334841628959276,-4.220275132286313e-05,-0.4117647058823529,-0.5248868778280543,-3.380108809905065e-05,-0.3393665158371041,-0.4796380090497738,-2.5291831833094297e-05,-0.20361990950226244,-0.4660633484162896,-4.585405415325933e-05,-0.4751131221719457,-0.4841628959276018,-6.31293377973616e-05,-0.4479638009049774,-0.3891402714932127,-4.123847004301658e-05,-0.3665158371040724,-0.37104072398190047,-2.5617236362077875e-05,-0.29411764705882354,-0.3574660633484163,-7.035217841882222e-05,-0.502262443438914,-0.37104072398190047,-7.863945753112887e-05,-0.4751131221719457,-0.29411764705882354,-5.963868600402193e-05,-0.4072398190045249,-0.26244343891402716,-4.365521841110937e-05
