class,hand,coordinate0,coordinate1,coordinate2,coordinate3,coordinate4,coordinate5,coordinate6,coordinate7,coordinate8,coordinate9,coordinate10,coordinate11,coordinate12,coordinate13,coordinate14,coordinate15,coordinate16,coordinate17,coordinate18,coordinate19,coordinate20,coordinate21,coordinate22,coordinate23,coordinate24,coordinate25,coordinate26,coordinate27,coordinate28,coordinate29,coordinate30,coordinate31,coordinate32,coordinate33,coordinate34,coordinate35,coordinate36,coordinate37,coordinate38,coordinate39,coordinate40,coordinate41
6,Right,0.0,0.0,-0.1037037037037037,-0.2,-0.21481481481481482,-0.4740740740740741,-0.2962962962962963,-0.7407407407407407,-0.22962962962962963,-1.0,0.07407407407407407,-0.2074074074074074,-0.1259259259259259,-0.21481481481481482,-0.24444444444444444,-0.18518518518518517,-0.3037037037037037,-0.14074074074074075,0.05925925925925926,0.05185185185185185,-0.2814814814814815,0.07407407407407407,-0.4148148148148148,0.15555555555555556,-0.4666666666666667,0.22962962962962963,-0.014814814814814815,0.26666666666666666,-0.37037037037037035,0.2962962962962963,-0.5111111111111111,0.362962962962963,-0.5555555555555556,0.3925925925925926,-0.08148148148148149,0.42962962962962964,-0.3851851851851852,0.4666666666666667,-0.5185185185185185,0.5185185185185185,-0.5851851851851851,0.5407407407407407
6,Right,0.0,0.0,-0.08571428571428572,-0.26666666666666666,-0.26666666666666666,-0.5761904761904761,-0.34285714285714286,-0.8,-0.2857142857142857,-1.0,-0.13333333333333333,-0.3476190476190476,-0.6142857142857143,-0.34285714285714286,-0.5333333333333333,-0.34285714285714286,-0.36666666666666664,-0.3333333333333333,-0.1380952380952381,-0.1,-0.6428571428571429,-0.11904761904761904,-0.5380952380952381,-0.13333333333333333,-0.35714285714285715,-0.11904761904761904,-0.1619047619047619,0.11904761904761904,-0.6142857142857143,0.07142857142857142,-0.5142857142857142,0.05238095238095238,-0.3476190476190476,0.05238095238095238,-0.19523809523809524,0.29523809523809524,-0.5285714285714286,0.2571428571428571,-0.4523809523809524,0.21904761904761905,-0.319047619047619,0.21904761904761905
6,Right,0.0,0.0,-0.04216867469879518,-0.3493975903614458,-0.29518072289156627,-0.6024096385542169,-0.5180722891566265,-0.7108433734939759,-0.6927710843373494,-0.7710843373493976,-0.29518072289156627,-0.5301204819277109,-0.6867469879518072,-0.5542168674698795,-0.9156626506024096,-0.5060240963855421,-1.0,-0.4457831325301205,-0.28313253012048195,-0.26506024096385544,-0.7590361445783133,-0.24096385542168675,-0.963855421686747,-0.2289156626506024,-0.9698795180722891,-0.18674698795180722,-0.3072289156626506,0.018072289156626505,-0.7590361445783133,0.03614457831325301,-0.9216867469879518,0.0,-0.9096385542168675,-0.012048192771084338,-0.3674698795180723,0.2710843373493976,-0.7469879518072289,0.27710843373493976,-0.8734939759036144,0.21686746987951808,-0.8734939759036144,0.1927710843373494
6,Right,0.0,0.0,-0.1437125748502994,-0.3652694610778443,-0.3712574850299401,-0.6706586826347305,-0.5508982035928144,-0.8383233532934131,-0.7065868263473054,-0.9520958083832335,-0.3532934131736527,-0.5508982035928144,-0.7964071856287425,-0.6287425149700598,-0.9101796407185628,-0.6766467065868264,-0.9041916167664671,-0.6586826347305389,-0.39520958083832336,-0.281437125748503,-0.9760479041916168,-0.38323353293413176,-0.9640718562874252,-0.437125748502994,-0.8203592814371258,-0.41916167664670656,-0.4550898203592814,-0.029940119760479042,-1.0,-0.1317365269461078,-0.9281437125748503,-0.19760479041916168,-0.7664670658682635,-0.19161676646706588,-0.5089820359281437,0.19760479041916168,-0.9461077844311377,0.10778443113772455,-0.8862275449101796,0.029940119760479042,-0.7305389221556886,0.005988023952095809
6,Right,0.0,0.0,-0.0821917808219178,-0.2694063926940639,-0.273972602739726,-0.5707762557077626,-0.365296803652968,-0.8036529680365296,-0.3333333333333333,-1.0,-0.3105022831050228,-0.4611872146118721,-0.6940639269406392,-0.4748858447488584,-0.634703196347032,-0.4246575342465753,-0.4794520547945205,-0.3972602739726027,-0.3333333333333333,-0.2420091324200913,-0.7534246575342466,-0.2694063926940639,-0.6757990867579908,-0.2374429223744292,-0.5159817351598174,-0.2237442922374429,-0.365296803652968,-0.0228310502283105,-0.7488584474885844,-0.0593607305936073,-0.6666666666666666,-0.0547945205479452,-0.5114155251141552,-0.045662100456621,-0.3881278538812785,0.1872146118721461,-0.684931506849315,0.1461187214611872,-0.6301369863013698,0.1187214611872146,-0.5068493150684932,0.1141552511415525
6,Right,0.0,0.0,-0.16062176165803108,-0.33678756476683935,-0.36787564766839376,-0.6476683937823834,-0.49740932642487046,-0.8497409326424871,-0.5958549222797928,-1.0,-0.39896373056994816,-0.5284974093264249,-0.7461139896373057,-0.6062176165803109,-0.8238341968911918,-0.5958549222797928,-0.7875647668393783,-0.5544041450777202,-0.45077720207253885,-0.29533678756476683,-0.8911917098445595,-0.37305699481865284,-0.8963730569948186,-0.38860103626943004,-0.7927461139896373,-0.36787564766839376,-0.49222797927461137,-0.07253886010362694,-0.917098445595855,-0.15025906735751296,-0.8601036269430051,-0.17616580310880828,-0.7098445595854922,-0.16580310880829016,-0.5233160621761658,0.14507772020725387,-0.8704663212435233,0.07772020725388601,-0.8238341968911918,0.025906735751295335,-0.689119170984456,0.0051813471502590676
6,Right,0.0,0.0,-0.13839285714285715,-0.3169642857142857,-0.32589285714285715,-0.6026785714285714,-0.4107142857142857,-0.8214285714285714,-0.39732142857142855,-1.0,-0.40625,-0.5089285714285714,-0.7410714285714286,-0.5133928571428571,-0.6741071428571429,-0.4642857142857143,-0.5401785714285714,-0.44642857142857145,-0.4419642857142857,-0.29910714285714285,-0.8080357142857143,-0.33482142857142855,-0.7142857142857143,-0.2857142857142857,-0.5669642857142857,-0.26339285714285715,-0.47767857142857145,-0.09375,-0.7991071428571429,-0.12946428571428573,-0.7053571428571429,-0.11607142857142858,-0.5625,-0.10714285714285714,-0.5044642857142857,0.11160714285714286,-0.7723214285714286,0.0625,-0.6919642857142857,0.049107142857142856,-0.5669642857142857,0.05357142857142857
6,Right,0.0,0.0,-0.10909090909090909,-0.3090909090909091,-0.3,-0.5909090909090909,-0.39545454545454545,-0.8181818181818182,-0.33636363636363636,-1.0,-0.41818181818181815,-0.4727272727272727,-0.7636363636363637,-0.4636363636363636,-0.6681818181818182,-0.41363636363636364,-0.5272727272727272,-0.40454545454545454,-0.4409090909090909,-0.2590909090909091,-0.7954545454545454,-0.2772727272727273,-0.6863636363636364,-0.24545454545454545,-0.5409090909090909,-0.2318181818181818,-0.45454545454545453,-0.04090909090909091,-0.7772727272727272,-0.07272727272727272,-0.6727272727272727,-0.06818181818181818,-0.5363636363636364,-0.06363636363636363,-0.4590909090909091,0.16818181818181818,-0.7318181818181818,0.12727272727272726,-0.65,0.10909090909090909,-0.5363636363636364,0.10454545454545454
6,Right,0.0,0.0,-0.11818181818181818,-0.30454545454545456,-0.30454545454545456,-0.5772727272727273,-0.4,-0.8090909090909091,-0.33636363636363636,-1.0,-0.45454545454545453,-0.4409090909090909,-0.7863636363636364,-0.43636363636363634,-0.6772727272727272,-0.39090909090909093,-0.5409090909090909,-0.38181818181818183,-0.4727272727272727,-0.22272727272727272,-0.8136363636363636,-0.25,-0.6909090909090909,-0.22272727272727272,-0.5545454545454546,-0.21363636363636362,-0.4818181818181818,-0.013636363636363636,-0.7772727272727272,-0.05454545454545454,-0.6727272727272727,-0.05,-0.5409090909090909,-0.045454545454545456,-0.4863636363636364,0.18181818181818182,-0.740909090909091,0.1318181818181818,-0.6545454545454545,0.11818181818181818,-0.5363636363636364,0.12272727272727273
6,Right,0.0,0.0,-0.14814814814814814,-0.3148148148148148,-0.3611111111111111,-0.5787037037037037,-0.4675925925925926,-0.8101851851851852,-0.4027777777777778,-1.0,-0.5138888888888888,-0.4444444444444444,-0.8425925925925926,-0.42592592592592593,-0.7268518518518519,-0.37037037037037035,-0.5833333333333334,-0.3611111111111111,-0.5324074074074074,-0.2222222222222222,-0.8518518518518519,-0.22685185185185186,-0.7314814814814815,-0.19907407407407407,-0.5925925925925926,-0.19444444444444445,-0.5277777777777778,-0.009259259259259259,-0.8240740740740741,-0.027777777777777776,-0.7083333333333334,-0.023148148148148147,-0.5740740740740741,-0.018518518518518517,-0.5138888888888888,0.19444444444444445,-0.7638888888888888,0.16203703703703703,-0.6712962962962963,0.1527777777777778,-0.5509259259259259,0.14814814814814814
6,Right,0.0,0.0,-0.10175438596491228,-0.11929824561403508,-0.08771929824561403,-0.22105263157894736,-0.07719298245614035,-0.24912280701754386,-0.07368421052631578,-0.21754385964912282,0.2912280701754386,-0.14385964912280702,0.519298245614035,-0.11578947368421053,0.6947368421052632,-0.09824561403508772,0.8385964912280702,-0.07017543859649122,0.39649122807017545,-0.10526315789473684,0.6596491228070176,-0.10175438596491228,0.8491228070175438,-0.09824561403508772,1.0,-0.07368421052631578,0.44912280701754387,-0.08421052631578947,0.6807017543859649,-0.10175438596491228,0.8385964912280702,-0.08771929824561403,0.968421052631579,-0.06315789473684211,0.4631578947368421,-0.08070175438596491,0.6456140350877193,-0.0912280701754386,0.775438596491228,-0.07719298245614035,0.8807017543859649,-0.04912280701754386
6,Right,0.0,0.0,-0.16587677725118483,-0.3127962085308057,-0.3933649289099526,-0.5734597156398105,-0.5118483412322274,-0.8009478672985783,-0.46445497630331756,-1.0,-0.5545023696682464,-0.44075829383886256,-0.8862559241706162,-0.4028436018957346,-0.7677725118483413,-0.35545023696682465,-0.6208530805687204,-0.35545023696682465,-0.5639810426540285,-0.22274881516587677,-0.8862559241706162,-0.20853080568720378,-0.7630331753554502,-0.17535545023696683,-0.6255924170616114,-0.18009478672985782,-0.5592417061611374,-0.004739336492890996,-0.8530805687203792,-0.014218009478672985,-0.7393364928909952,0.0,-0.6018957345971564,0.0,-0.5402843601895735,0.20853080568720378,-0.7867298578199052,0.18009478672985782,-0.6872037914691943,0.17061611374407584,-0.5639810426540285,0.16587677725118483
