class,hand,coordinate0,coordinate1,coordinate2,coordinate3,coordinate4,coordinate5,coordinate6,coordinate7,coordinate8,coordinate9,coordinate10,coordinate11,coordinate12,coordinate13,coordinate14,coordinate15,coordinate16,coordinate17,coordinate18,coordinate19,coordinate20,coordinate21,coordinate22,coordinate23,coordinate24,coordinate25,coordinate26,coordinate27,coordinate28,coordinate29,coordinate30,coordinate31,coordinate32,coordinate33,coordinate34,coordinate35,coordinate36,coordinate37,coordinate38,coordinate39,coordinate40,coordinate41
12,Right,0.0,0.0,-0.24651162790697675,-0.13023255813953488,-0.5813953488372093,-0.12093023255813953,-0.827906976744186,-0.08372093023255814,-1.0,-0.16279069767441862,-0.42790697674418604,0.05581395348837209,-0.7023255813953488,0.24186046511627907,-0.8697674418604651,0.3302325581395349,-0.9906976744186047,0.3953488372093023,-0.3209302325581395,0.2372093023255814,-0.6511627906976745,0.413953488372093,-0.7116279069767442,0.3488372093023256,-0.6651162790697674,0.2744186046511628,-0.22325581395348837,0.37209302325581395,-0.5488372093023256,0.49767441860465117,-0.586046511627907,0.4325581395348837,-0.5348837209302325,0.35348837209302325,-0.15813953488372093,0.46511627906976744,-0.40930232558139534,0.49767441860465117,-0.4604651162790698,0.49767441860465117,-0.4418604651162791,0.4604651162790698
12,Right,0.0,0.0,-0.17511520737327188,-0.1889400921658986,-0.4976958525345622,-0.28110599078341014,-0.7419354838709677,-0.31797235023041476,-0.8755760368663594,-0.45161290322580644,-0.3870967741935484,-0.19815668202764977,-0.6728110599078341,-0.1152073732718894,-0.8571428571428571,-0.07834101382488479,-1.0,-0.041474654377880185,-0.33640552995391704,0.009216589861751152,-0.7327188940092166,0.10138248847926268,-0.7050691244239631,0.03686635944700461,-0.5898617511520737,0.0,-0.2764976958525346,0.1935483870967742,-0.6543778801843319,0.2672811059907834,-0.6221198156682027,0.18433179723502305,-0.5161290322580645,0.12903225806451613,-0.2304147465437788,0.3548387096774194,-0.5483870967741935,0.4055299539170507,-0.5391705069124424,0.31797235023041476,-0.46543778801843316,0.25806451612903225
12,Right,0.0,0.0,-0.115,-0.23,-0.4,-0.405,-0.645,-0.53,-0.735,-0.71,-0.35,-0.405,-0.635,-0.475,-0.84,-0.48,-1.0,-0.48,-0.35,-0.23,-0.785,-0.2,-0.71,-0.165,-0.555,-0.155,-0.34,-0.03,-0.715,0.01,-0.62,0.01,-0.48,-0.01,-0.33,0.175,-0.635,0.18,-0.55,0.16,-0.425,0.14
12,Right,0.0,0.0,-0.07602339181286549,-0.24561403508771928,-0.28654970760233917,-0.4853801169590643,-0.4853801169590643,-0.6374269005847953,-0.6257309941520468,-0.7543859649122807,-0.3216374269005848,-0.5789473684210527,-0.6140350877192983,-0.7485380116959064,-0.8245614035087719,-0.8245614035087719,-1.0,-0.8771929824561403,-0.34502923976608185,-0.4327485380116959,-0.8245614035087719,-0.40350877192982454,-0.7368421052631579,-0.28654970760233917,-0.5847953216374269,-0.2573099415204678,-0.3684210526315789,-0.22807017543859648,-0.783625730994152,-0.16374269005847952,-0.672514619883041,-0.0935672514619883,-0.5263157894736842,-0.10526315789473684,-0.3742690058479532,-0.005847953216374269,-0.7017543859649122,0.023391812865497075,-0.6081871345029239,0.06432748538011696,-0.47953216374269003,0.05847953216374269
12,Right,0.0,0.0,-0.047619047619047616,-0.26455026455026454,-0.20634920634920634,-0.48677248677248675,-0.37566137566137564,-0.5978835978835979,-0.5079365079365079,-0.6349206349206349,-0.2275132275132275,-0.5873015873015873,-0.43915343915343913,-0.8095238095238095,-0.6084656084656085,-0.9206349206349206,-0.746031746031746,-1.0,-0.2698412698412698,-0.48148148148148145,-0.671957671957672,-0.5026455026455027,-0.6190476190476191,-0.38095238095238093,-0.49206349206349204,-0.3386243386243386,-0.32275132275132273,-0.32275132275132273,-0.6666666666666666,-0.2804232804232804,-0.582010582010582,-0.20634920634920634,-0.4656084656084656,-0.20634920634920634,-0.3544973544973545,-0.14814814814814814,-0.6243386243386243,-0.1111111111111111,-0.544973544973545,-0.0582010582010582,-0.43915343915343913,-0.06349206349206349
12,Right,0.0,0.0,-0.09134615384615384,-0.27884615384615385,-0.2548076923076923,-0.5144230769230769,-0.41346153846153844,-0.6346153846153846,-0.5336538461538461,-0.6923076923076923,-0.30288461538461536,-0.6442307692307693,-0.46634615384615385,-0.7980769230769231,-0.5480769230769231,-0.9086538461538461,-0.5961538461538461,-1.0,-0.34134615384615385,-0.5673076923076923,-0.6682692307692307,-0.6105769230769231,-0.6153846153846154,-0.5240384615384616,-0.5,-0.4951923076923077,-0.3701923076923077,-0.4423076923076923,-0.6826923076923077,-0.4326923076923077,-0.6009615384615384,-0.36538461538461536,-0.49038461538461536,-0.375,-0.3798076923076923,-0.28846153846153844,-0.6538461538461539,-0.27403846153846156,-0.5721153846153846,-0.23076923076923078,-0.46634615384615385,-0.24519230769230768
12,Right,0.0,0.0,-0.07377049180327869,-0.27049180327868855,-0.20081967213114754,-0.47950819672131145,-0.3483606557377049,-0.5819672131147541,-0.47950819672131145,-0.6065573770491803,-0.21311475409836064,-0.6229508196721312,-0.36065573770491804,-0.7950819672131147,-0.46311475409836067,-0.9057377049180327,-0.5450819672131147,-1.0,-0.25,-0.5573770491803278,-0.5532786885245902,-0.6147540983606558,-0.5245901639344263,-0.5245901639344263,-0.4385245901639344,-0.5040983606557377,-0.29508196721311475,-0.45491803278688525,-0.5778688524590164,-0.47950819672131145,-0.5204918032786885,-0.4016393442622951,-0.4344262295081967,-0.3975409836065574,-0.3401639344262295,-0.3319672131147541,-0.5614754098360656,-0.3442622950819672,-0.5,-0.29098360655737704,-0.4180327868852459,-0.2786885245901639
12,Right,0.0,0.0,-0.0163265306122449,-0.2571428571428571,-0.10612244897959183,-0.46122448979591835,-0.23673469387755103,-0.5714285714285714,-0.35918367346938773,-0.5959183673469388,-0.12653061224489795,-0.6122448979591837,-0.24897959183673468,-0.8204081632653061,-0.3673469387755102,-0.926530612244898,-0.46122448979591835,-1.0,-0.17551020408163265,-0.5591836734693878,-0.46530612244897956,-0.6244897959183674,-0.46530612244897956,-0.5183673469387755,-0.3877551020408163,-0.4775510204081633,-0.23673469387755103,-0.46530612244897956,-0.49795918367346936,-0.4857142857142857,-0.4775510204081633,-0.39591836734693875,-0.4,-0.37551020408163266,-0.2938775510204082,-0.3510204081632653,-0.49795918367346936,-0.363265306122449,-0.46938775510204084,-0.2938775510204082,-0.4,-0.27346938775510204
12,Right,0.0,0.0,0.0,-0.24034334763948498,-0.07725321888412018,-0.45064377682403434,-0.2145922746781116,-0.5493562231759657,-0.33905579399141633,-0.5579399141630901,-0.0815450643776824,-0.6008583690987125,-0.2145922746781116,-0.8111587982832618,-0.33047210300429186,-0.9184549356223176,-0.41630901287553645,-1.0,-0.12875536480686695,-0.5493562231759657,-0.4334763948497854,-0.6266094420600858,-0.4334763948497854,-0.51931330472103,-0.351931330472103,-0.47639484978540775,-0.19742489270386265,-0.45064377682403434,-0.47639484978540775,-0.4892703862660944,-0.4592274678111588,-0.3905579399141631,-0.3776824034334764,-0.36909871244635195,-0.27467811158798283,-0.33476394849785407,-0.49356223175965663,-0.36909871244635195,-0.4678111587982833,-0.296137339055794,-0.3948497854077253,-0.26180257510729615
12,Right,0.0,0.0,0.00904977375565611,-0.2579185520361991,-0.06787330316742081,-0.4751131221719457,-0.22171945701357465,-0.579185520361991,-0.3574660633484163,-0.5746606334841629,-0.06334841628959276,-0.6063348416289592,-0.19004524886877827,-0.8235294117647058,-0.3031674208144796,-0.9321266968325792,-0.39819004524886875,-1.0,-0.12217194570135746,-0.5565610859728507,-0.416289592760181,-0.6334841628959276,-0.4117647058823529,-0.5248868778280543,-0.3393665158371041,-0.4796380090497738,-0.20361990950226244,-0.4660633484162896,-0.4751131221719457,-0.4841628959276018,-0.4479638009049774,-0.3891402714932127,-0.3665158371040724,-0.37104072398190047,-0.29411764705882354,-0.3574660633484163,-0.502262443438914,-0.37104072398190047,-0.4751131221719457,-0.29411764705882354,-0.4072398190045249,-0.26244343891402716
