class,hand,coordinate0,coordinate1,coordinate2,coordinate3,coordinate4,coordinate5,coordinate6,coordinate7,coordinate8,coordinate9,coordinate10,coordinate11,coordinate12,coordinate13,coordinate14,coordinate15,coordinate16,coordinate17,coordinate18,coordinate19,coordinate20,coordinate21,coordinate22,coordinate23,coordinate24,coordinate25,coordinate26,coordinate27,coordinate28,coordinate29,coordinate30,coordinate31,coordinate32,coordinate33,coordinate34,coordinate35,coordinate36,coordinate37,coordinate38,coordinate39,coordinate40,coordinate41
19,Right,0.0,0.0,-0.23118279569892472,-0.15053763440860216,-0.5698924731182796,-0.14516129032258066,-0.8440860215053764,-0.05913978494623656,-1.0,0.10215053763440861,-0.40860215053763443,-0.14516129032258066,-0.7849462365591398,-0.005376344086021506,-0.9301075268817204,0.10752688172043011,-0.9354838709677419,0.16129032258064516,-0.3064516129032258,0.04838709677419355,-0.7204301075268817,0.24193548387096775,-0.8763440860215054,0.2903225806451613,-0.8548387096774194,0.25806451612903225,-0.22580645161290322,0.23118279569892472,-0.6236559139784946,0.40860215053763443,-0.7849462365591398,0.41397849462365593,-0.7795698924731183,0.3602150537634409,-0.1774193548387097,0.3978494623655914,-0.510752688172043,0.5376344086021505,-0.6612903225806451,0.5268817204301075,-0.6935483870967742,0.46236559139784944
19,Right,0.0,0.0,-0.17222222222222222,-0.2,-0.4888888888888889,-0.28888888888888886,-0.7777777777777778,-0.23333333333333334,-1.0,-0.15,-0.3611111111111111,-0.42777777777777776,-0.7222222222222222,-0.38333333333333336,-0.9055555555555556,-0.25,-0.9833333333333333,-0.14444444444444443,-0.2777777777777778,-0.25,-0.7333333333333333,-0.16111111111111112,-0.8611111111111112,-0.05555555555555555,-0.8388888888888889,0.0,-0.2388888888888889,-0.03333333333333333,-0.6666666666666666,0.044444444444444446,-0.7888888888888889,0.09444444444444444,-0.7666666666666667,0.1111111111111111,-0.2222222222222222,0.18333333333333332,-0.6055555555555555,0.23333333333333334,-0.7333333333333333,0.23333333333333334,-0.7444444444444445,0.21666666666666667
19,Right,0.0,0.0,-0.15060240963855423,-0.23493975903614459,-0.4578313253012048,-0.3795180722891566,-0.7710843373493976,-0.35542168674698793,-1.0,-0.3192771084337349,-0.3072289156626506,-0.5963855421686747,-0.7108433734939759,-0.6325301204819277,-0.8795180722891566,-0.4759036144578313,-0.8975903614457831,-0.3493975903614458,-0.2469879518072289,-0.4397590361445783,-0.7409638554216867,-0.43373493975903615,-0.891566265060241,-0.27710843373493976,-0.8674698795180723,-0.1746987951807229,-0.24096385542168675,-0.23493975903614459,-0.7108433734939759,-0.21686746987951808,-0.8373493975903614,-0.1144578313253012,-0.8072289156626506,-0.04819277108433735,-0.26506024096385544,-0.018072289156626505,-0.6566265060240963,-0.018072289156626505,-0.7831325301204819,0.018072289156626505,-0.7891566265060241,0.04216867469879518
19,Right,0.0,0.0,-0.15894039735099338,-0.23178807947019867,-0.45695364238410596,-0.423841059602649,-0.7682119205298014,-0.4768211920529801,-1.0,-0.4966887417218543,-0.24503311258278146,-0.7350993377483444,-0.6688741721854304,-0.8410596026490066,-0.8940397350993378,-0.6887417218543046,-0.9403973509933775,-0.5364238410596026,-0.1986754966887417,-0.5960264900662252,-0.7152317880794702,-0.695364238410596,-0.9072847682119205,-0.5033112582781457,-0.9072847682119205,-0.36423841059602646,-0.2185430463576159,-0.4105960264900662,-0.7218543046357616,-0.4966887417218543,-0.8675496688741722,-0.3509933774834437,-0.8344370860927153,-0.23178807947019867,-0.2847682119205298,-0.19205298013245034,-0.7019867549668874,-0.26490066225165565,-0.8543046357615894,-0.2052980132450331,-0.8543046357615894,-0.13245033112582782
19,Right,0.0,0.0,-0.39869281045751637,-0.2549019607843137,-0.6209150326797386,-0.5228758169934641,-0.7973856209150327,-0.6993464052287581,-0.9477124183006536,-0.869281045751634,-0.30718954248366015,-0.8366013071895425,-0.5751633986928104,-0.9869281045751634,-0.7908496732026143,-0.9803921568627451,-0.9084967320261438,-0.9215686274509803,-0.2549019607843137,-0.8169934640522876,-0.6013071895424836,-1.0,-0.8169934640522876,-0.934640522875817,-0.9019607843137255,-0.8169934640522876,-0.23529411764705882,-0.7320261437908496,-0.6143790849673203,-0.8954248366013072,-0.8169934640522876,-0.803921568627451,-0.8823529411764706,-0.6797385620915033,-0.2679738562091503,-0.5947712418300654,-0.5947712418300654,-0.738562091503268,-0.7908496732026143,-0.6993464052287581,-0.8758169934640523,-0.6078431372549019
19,Right,0.0,0.0,-0.35064935064935066,-0.16883116883116883,-0.538961038961039,-0.4090909090909091,-0.7077922077922078,-0.5454545454545454,-0.8636363636363636,-0.6558441558441559,-0.07792207792207792,-0.8311688311688312,-0.474025974025974,-1.0,-0.6818181818181818,-0.8376623376623377,-0.7402597402597403,-0.6688311688311688,-0.05844155844155844,-0.7727272727272727,-0.5194805194805194,-0.987012987012987,-0.7207792207792207,-0.7987012987012987,-0.7532467532467533,-0.6168831168831169,-0.1038961038961039,-0.6558441558441559,-0.5909090909090909,-0.8441558441558441,-0.7272727272727273,-0.6558441558441559,-0.7142857142857143,-0.5,-0.2077922077922078,-0.5,-0.6103896103896104,-0.6558441558441559,-0.7467532467532467,-0.5584415584415584,-0.7662337662337663,-0.44155844155844154
19,Right,0.0,0.0,-0.35714285714285715,-0.27976190476190477,-0.5297619047619048,-0.5416666666666666,-0.6785714285714286,-0.7142857142857143,-0.7916666666666666,-0.875,-0.20238095238095238,-0.8154761904761905,-0.44047619047619047,-0.9702380952380952,-0.625,-0.9761904761904762,-0.7440476190476191,-0.9404761904761905,-0.16666666666666666,-0.7916666666666666,-0.44047619047619047,-1.0,-0.6190476190476191,-0.9761904761904762,-0.7142857142857143,-0.9047619047619048,-0.17857142857142858,-0.7142857142857143,-0.48214285714285715,-0.9226190476190477,-0.6488095238095238,-0.8809523809523809,-0.7321428571428571,-0.7976190476190477,-0.23809523809523808,-0.5952380952380952,-0.5178571428571429,-0.7738095238095238,-0.6726190476190477,-0.7738095238095238,-0.7619047619047619,-0.7321428571428571
19,Right,0.0,0.0,-0.378698224852071,-0.27218934911242604,-0.5325443786982249,-0.5325443786982249,-0.6804733727810651,-0.7041420118343196,-0.8047337278106509,-0.8165680473372781,-0.21301775147928995,-0.8284023668639053,-0.4911242603550296,-0.9940828402366864,-0.6094674556213018,-0.9349112426035503,-0.6449704142011834,-0.8816568047337278,-0.1893491124260355,-0.8106508875739645,-0.5325443786982249,-1.0,-0.6331360946745562,-0.9289940828402367,-0.6331360946745562,-0.8698224852071006,-0.20118343195266272,-0.7455621301775148,-0.5562130177514792,-0.9467455621301775,-0.650887573964497,-0.8698224852071006,-0.6390532544378699,-0.8106508875739645,-0.28994082840236685,-0.650887573964497,-0.591715976331361,-0.8224852071005917,-0.6627218934911243,-0.7869822485207101,-0.6331360946745562,-0.7337278106508875
19,Right,0.0,0.0,-0.2802547770700637,-0.11464968152866242,-0.43312101910828027,-0.31210191082802546,-0.5923566878980892,-0.43312101910828027,-0.7197452229299363,-0.5222929936305732,-0.006369426751592357,-0.7834394904458599,-0.33121019108280253,-0.9554140127388535,-0.5222929936305732,-0.8343949044585988,-0.5668789808917197,-0.6815286624203821,-0.03184713375796178,-0.7834394904458599,-0.39490445859872614,-1.0,-0.5796178343949044,-0.8407643312101911,-0.6114649681528662,-0.6751592356687898,-0.11464968152866242,-0.7261146496815286,-0.4840764331210191,-0.9426751592356688,-0.643312101910828,-0.7707006369426752,-0.6560509554140127,-0.5987261146496815,-0.2611464968152866,-0.6178343949044586,-0.5668789808917197,-0.7707006369426752,-0.6942675159235668,-0.6687898089171974,-0.7070063694267515,-0.5414012738853503
19,Right,0.0,0.0,-0.32954545454545453,-0.2556818181818182,-0.4715909090909091,-0.4659090909090909,-0.6079545454545454,-0.6022727272727273,-0.6875,-0.7102272727272727,-0.07386363636363637,-0.8465909090909091,-0.38636363636363635,-0.9829545454545454,-0.5284090909090909,-0.8863636363636364,-0.5625,-0.7784090909090909,-0.07386363636363637,-0.8409090909090909,-0.4431818181818182,-1.0,-0.5738636363636364,-0.8977272727272727,-0.5852272727272727,-0.7840909090909091,-0.13068181818181818,-0.7840909090909091,-0.4943181818181818,-0.9488636363636364,-0.6136363636363636,-0.8295454545454546,-0.6136363636363636,-0.7045454545454546,-0.2556818181818182,-0.6931818181818182,-0.5681818181818182,-0.8409090909090909,-0.6420454545454546,-0.7556818181818182,-0.625,-0.6420454545454546
