class,hand,coordinate0,coordinate1,coordinate2,coordinate3,coordinate4,coordinate5,coordinate6,coordinate7,coordinate8,coordinate9,coordinate10,coordinate11,coordinate12,coordinate13,coordinate14,coordinate15,coordinate16,coordinate17,coordinate18,coordinate19,coordinate20,coordinate21,coordinate22,coordinate23,coordinate24,coordinate25,coordinate26,coordinate27,coordinate28,coordinate29,coordinate30,coordinate31,coordinate32,coordinate33,coordinate34,coordinate35,coordinate36,coordinate37,coordinate38,coordinate39,coordinate40,coordinate41
20,Right,0.0,0.0,-0.2896174863387978,-0.060109289617486336,-0.6120218579234973,0.07650273224043716,-0.819672131147541,0.20765027322404372,-1.0,0.14754098360655737,-0.43169398907103823,0.06557377049180328,-0.5846994535519126,0.3114754098360656,-0.7049180327868853,0.47540983606557374,-0.7978142076502732,0.6065573770491803,-0.22404371584699453,0.20765027322404372,-0.4808743169398907,0.5792349726775956,-0.6557377049180327,0.7759562841530054,-0.7759562841530054,0.8415300546448088,-0.0546448087431694,0.3333333333333333,-0.30601092896174864,0.6721311475409836,-0.4644808743169399,0.7213114754098361,-0.5628415300546448,0.7213114754098361,0.08196721311475409,0.43169398907103823,-0.15846994535519127,0.6994535519125683,-0.2786885245901639,0.6994535519125683,-0.33879781420765026,0.6557377049180327
20,Right,0.0,0.0,-0.2994350282485876,-0.0847457627118644,-0.6045197740112994,-0.10734463276836158,-0.8418079096045198,-0.11299435028248588,-1.0,-0.1977401129943503,-0.3898305084745763,-0.22033898305084745,-0.5932203389830508,-0.07344632768361582,-0.7344632768361582,0.03389830508474576,-0.864406779661017,0.12429378531073447,-0.23728813559322035,-0.0847457627118644,-0.5141242937853108,0.21468926553672316,-0.7175141242937854,0.384180790960452,-0.847457627118644,0.519774011299435,-0.10734463276836158,0.0903954802259887,-0.384180790960452,0.3446327683615819,-0.3728813559322034,0.3220338983050847,-0.3163841807909605,0.2824858757062147,-0.022598870056497175,0.24858757062146894,-0.23728813559322035,0.4463276836158192,-0.23163841807909605,0.4350282485875706,-0.1751412429378531,0.3898305084745763
20,Right,0.0,0.0,-0.3333333333333333,-0.1761006289308176,-0.6226415094339622,-0.33962264150943394,-0.8238993710691824,-0.44025157232704404,-0.9937106918238994,-0.5786163522012578,-0.3710691823899371,-0.5534591194968553,-0.5786163522012578,-0.5974842767295597,-0.7672955974842768,-0.5534591194968553,-0.9245283018867925,-0.48427672955974843,-0.2138364779874214,-0.41509433962264153,-0.6037735849056604,-0.2641509433962264,-0.8427672955974843,-0.11949685534591195,-1.0,0.0,-0.0880503144654088,-0.20754716981132076,-0.4716981132075472,0.0,-0.44025157232704404,0.018867924528301886,-0.3522012578616352,-0.025157232704402517,-0.006289308176100629,0.006289308176100629,-0.3333333333333333,0.1761006289308176,-0.32075471698113206,0.16352201257861634,-0.22641509433962265,0.08176100628930817
20,Right,0.0,0.0,-0.3373493975903614,-0.24096385542168675,-0.5060240963855421,-0.5240963855421686,-0.5903614457831325,-0.7409638554216867,-0.7168674698795181,-0.9337349397590361,-0.18674698795180722,-0.8012048192771084,-0.3493975903614458,-0.9518072289156626,-0.5421686746987951,-1.0,-0.7228915662650602,-1.0,-0.05421686746987952,-0.7048192771084337,-0.4457831325301205,-0.6626506024096386,-0.6987951807228916,-0.5662650602409639,-0.8674698795180723,-0.4879518072289157,0.03614457831325301,-0.5240963855421686,-0.3855421686746988,-0.39759036144578314,-0.3674698795180723,-0.2710843373493976,-0.28313253012048195,-0.2289156626506024,0.0783132530120482,-0.3132530120481928,-0.27710843373493976,-0.21686746987951808,-0.2710843373493976,-0.14457831325301204,-0.1686746987951807,-0.15060240963855423
20,Right,0.0,0.0,-0.24873096446700507,-0.2182741116751269,-0.3401015228426396,-0.4873096446700508,-0.38578680203045684,-0.6852791878172588,-0.467005076142132,-0.868020304568528,-0.08629441624365482,-0.7055837563451777,-0.22842639593908629,-0.8883248730964467,-0.38071065989847713,-0.9593908629441624,-0.5329949238578681,-1.0,0.015228426395939087,-0.6294416243654822,-0.3197969543147208,-0.6751269035532995,-0.5532994923857868,-0.6091370558375635,-0.7208121827411168,-0.5329949238578681,0.07106598984771574,-0.4873096446700508,-0.28426395939086296,-0.4365482233502538,-0.27918781725888325,-0.30456852791878175,-0.2131979695431472,-0.233502538071066,0.08121827411167512,-0.3197969543147208,-0.2131979695431472,-0.27411167512690354,-0.2131979695431472,-0.19289340101522842,-0.1319796954314721,-0.16751269035532995
20,Right,0.0,0.0,-0.3018867924528302,-0.2688679245283019,-0.3915094339622642,-0.47641509433962265,-0.42924528301886794,-0.6509433962264151,-0.4858490566037736,-0.839622641509434,-0.18867924528301888,-0.6839622641509434,-0.2783018867924528,-0.7783018867924528,-0.3160377358490566,-0.9009433962264151,-0.36792452830188677,-1.0,-0.09433962264150944,-0.6179245283018868,-0.35377358490566035,-0.6886792452830188,-0.5471698113207547,-0.6981132075471698,-0.6839622641509434,-0.7264150943396226,-0.03773584905660377,-0.5141509433962265,-0.3443396226415094,-0.5330188679245284,-0.3160377358490566,-0.42452830188679247,-0.23113207547169812,-0.37735849056603776,-0.009433962264150943,-0.41509433962264153,-0.2830188679245283,-0.4009433962264151,-0.27358490566037735,-0.330188679245283,-0.18396226415094338,-0.3018867924528302
20,Right,0.0,0.0,-0.27941176470588236,-0.27450980392156865,-0.3480392156862745,-0.5147058823529411,-0.36764705882352944,-0.7009803921568627,-0.39705882352941174,-0.8529411764705882,-0.08823529411764706,-0.7450980392156863,-0.24509803921568626,-0.8676470588235294,-0.37254901960784315,-0.946078431372549,-0.4852941176470588,-1.0,-0.029411764705882353,-0.7009803921568627,-0.3627450980392157,-0.8088235294117647,-0.553921568627451,-0.8088235294117647,-0.6813725490196079,-0.8137254901960784,-0.00980392156862745,-0.6176470588235294,-0.36764705882352944,-0.6568627450980392,-0.35294117647058826,-0.5343137254901961,-0.25980392156862747,-0.46568627450980393,-0.014705882352941176,-0.5196078431372549,-0.31862745098039214,-0.5392156862745098,-0.30392156862745096,-0.44607843137254904,-0.21568627450980393,-0.4068627450980392
20,Right,0.0,0.0,-0.23504273504273504,-0.24358974358974358,-0.2905982905982906,-0.46153846153846156,-0.31196581196581197,-0.6196581196581197,-0.34615384615384615,-0.7564102564102564,-0.04700854700854701,-0.6666666666666666,-0.1111111111111111,-0.7948717948717948,-0.16666666666666666,-0.9017094017094017,-0.21794871794871795,-1.0,-0.01282051282051282,-0.6367521367521367,-0.31196581196581197,-0.7521367521367521,-0.4700854700854701,-0.7264957264957265,-0.5641025641025641,-0.6923076923076923,-0.01282051282051282,-0.5683760683760684,-0.3333333333333333,-0.6196581196581197,-0.32905982905982906,-0.5042735042735043,-0.2606837606837607,-0.43162393162393164,-0.042735042735042736,-0.4829059829059829,-0.3034188034188034,-0.5085470085470085,-0.3034188034188034,-0.4230769230769231,-0.23504273504273504,-0.37606837606837606
20,Right,0.0,0.0,-0.06097560975609756,-0.2601626016260163,-0.10569105691056911,-0.45121951219512196,-0.1910569105691057,-0.5772357723577236,-0.2926829268292683,-0.6463414634146342,-0.02032520325203252,-0.6260162601626016,-0.12601626016260162,-0.7926829268292683,-0.22357723577235772,-0.9065040650406504,-0.3170731707317073,-1.0,-0.028455284552845527,-0.6056910569105691,-0.3170731707317073,-0.6788617886178862,-0.4715447154471545,-0.6382113821138211,-0.5609756097560976,-0.5894308943089431,-0.056910569105691054,-0.540650406504065,-0.3333333333333333,-0.556910569105691,-0.34146341463414637,-0.44715447154471544,-0.2926829268292683,-0.3780487804878049,-0.10569105691056911,-0.45528455284552843,-0.32113821138211385,-0.46747967479674796,-0.32113821138211385,-0.3902439024390244,-0.26422764227642276,-0.33739837398373984
20,Right,0.0,0.0,-0.008733624454148471,-0.23580786026200873,-0.05240174672489083,-0.4192139737991266,-0.14410480349344978,-0.5414847161572053,-0.25327510917030566,-0.5938864628820961,-0.013100436681222707,-0.6026200873362445,-0.11790393013100436,-0.7991266375545851,-0.21397379912663755,-0.9170305676855895,-0.30131004366812225,-1.0,-0.056768558951965066,-0.5851528384279476,-0.33624454148471616,-0.6419213973799127,-0.4890829694323144,-0.5676855895196506,-0.5764192139737991,-0.4978165938864629,-0.11353711790393013,-0.5240174672489083,-0.3624454148471616,-0.5152838427947598,-0.388646288209607,-0.40611353711790393,-0.3624454148471616,-0.3318777292576419,-0.18777292576419213,-0.4410480349344978,-0.37117903930131,-0.4366812227074236,-0.37554585152838427,-0.3624454148471616,-0.3406113537117904,-0.3056768558951965
